work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/憫農 (李流謙),李流謙,wikisource,Author:李流謙,https://zh.wikisource.org/wiki/Author:%E6%9D%8E%E6%B5%81%E8%AC%99,1123,1176,南宋,death_year_1176_gt_1127,categories,True,1123年出生；1176年逝世,resolved
不詳/憶少子,陳師道,wikisource,Author:陳師道,https://zh.wikisource.org/wiki/Author:%E9%99%B3%E5%B8%AB%E9%81%93,1053,1101,北宋,death_year_1101_le_1127,categories,True,1053年出生；1101年逝世,resolved
不詳/憶江西提刑何仲容,周敦頤,wikisource,Author:周敦頤,https://zh.wikisource.org/wiki/Author:%E5%91%A8%E6%95%A6%E9%A0%A4,1017,1073,北宋,death_year_1073_le_1127,categories,True,1017年出生；1073年逝世,resolved
不詳/懷荆南舊遊,元絳,wikisource,,,,,,,,False,,missing_page
不詳/懷荆南舊遊,元絳,wikisource,,,,,,,,False,,missing_page
不詳/懷荆南舊遊,元絳,wikipedia,元绛,https://zh.wikipedia.org/wiki/%E5%85%83%E7%BB%9B,1009,1083,北宋,death_year_1083_le_1127,categories,True,1009年出生；1083年逝世,resolved
不詳/戒子通錄,劉清之,wikisource,,,,,,,,False,,missing_page
不詳/戒子通錄,劉清之,wikisource,,,,,,,,False,,missing_page
不詳/戒子通錄,劉清之,wikipedia,刘清之,https://zh.wikipedia.org/wiki/%E5%88%98%E6%B8%85%E4%B9%8B,1133,1189,南宋,death_year_1189_gt_1127,categories,True,1133年出生；1189年逝世,resolved
不詳/戲作示程、範二公,韓維,wikisource,,,,,,,,False,,missing_page
不詳/戲作示程、範二公,韓維,wikisource,,,,,,,,False,,missing_page
不詳/戲作示程、範二公,韓維,wikipedia,韓維,https://zh.wikipedia.org/wiki/%E9%9F%93%E7%B6%AD,1017,1098,北宋,death_year_1098_le_1127,categories,True,1017年出生；1098年逝世,resolved
不詳/打球圖,晁說之,wikisource,Author:晁說之,https://zh.wikisource.org/wiki/Author:%E6%99%81%E8%AA%AA%E4%B9%8B,1059,1129,南宋,death_year_1129_gt_1127,categories,True,1059年出生；1129年逝世,resolved
不詳/拙軒詞話,張侃,wikisource,,,,,,,,False,,missing_page
