priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,one_or_more_authors_have_no_usable_date,不詳/多麗 (李良定公席上賦),李良定公席上賦,李良定公席上賦,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/夢中作 (王珩),王珩,王珩,,1,,,
low,no_author_candidate,不詳/夢林玄解,,,,1,夢林玄解 | 夢林玄解__juan_01.txt | 夢林玄解/夢林玄解卷之首,,
low,one_or_more_authors_have_no_usable_date,不詳/大乘二十頌論,龍樹菩薩,龍樹菩薩,,1,,,
low,no_author_candidate,不詳/大乘寶要義論,,,,10,大乘寶要義論 | 大乘寶要義論__juan_01.txt | 大乘寶要義論/卷001 | 大乘寶要義論__juan_02.txt | 大乘寶要義論/卷002 | 大乘寶要義論__juan_03.txt,,
low,no_author_candidate,不詳/大乘集菩薩學論,,,,25,大乘集菩薩學論 | 大乘集菩薩學論__juan_01.txt | 大乘集菩薩學論/卷一 | 大乘集菩薩學論__juan_02.txt | 大乘集菩薩學論/卷二 | 大乘集菩薩學論__juan_03.txt,,
low,no_author_candidate,不詳/大事記,,,,12,大事記 | 大事記__juan_01.txt | 大事記/卷一 | 大事記__juan_02.txt | 大事記/卷二 | 大事記__juan_03.txt,,
low,no_author_candidate,不詳/大唐三藏取經詩話,,,,1,大唐三藏取經詩話 | 大唐三藏取經詩話__juan_01.txt,,
low,no_author_candidate,不詳/大堅固婆羅門緣起經,,,,2,大堅固婆羅門緣起經 | 大堅固婆羅門緣起經__juan_01.txt | 大堅固婆羅門緣起經/卷第 01 | 大堅固婆羅門緣起經__juan_02.txt | 大堅固婆羅門緣起經/卷第 02,,
low,no_author_candidate,不詳/大方廣總持寶光明經,,,,5,大方廣總持寶光明經 | 大方廣總持寶光明經__juan_01.txt | 大方廣總持寶光明經/卷第一 | 大方廣總持寶光明經__juan_02.txt | 大方廣總持寶光明經/卷第三 | 大方廣總持寶光明經__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/大理國淵公塔之碑銘,趙佑,趙佑,,1,,,
low,no_author_candidate,不詳/大集會正法經,,,,5,大集會正法經 | 大集會正法經__juan_01.txt | 大集會正法經/卷第 01 | 大集會正法經__juan_02.txt | 大集會正法經/卷第 02 | 大集會正法經__juan_03.txt,,
low,no_author_candidate,不詳/大集法門經,,,,2,大集法門經 | 大集法門經__juan_01.txt | 大集法門經/卷第 01 | 大集法門經__juan_02.txt | 大集法門經/卷第 02,,
low,one_or_more_authors_have_no_usable_date,不詳/天老神光經,蘇登,蘇登,,1,,,
low,no_author_candidate,不詳/太上九天延祥滌厄四聖妙經,,,,1,太上九天延祥滌厄四聖妙經 | 太上九天延祥滌厄四聖妙經__juan_01.txt,,
