status,note,source_folder,target_folder,work_rel,source_path,target_path,authors,date_evidence,file_count
moved,,不詳,南宋,還丹復命篇,不詳/還丹復命篇,南宋/還丹復命篇,薛道光,薛道光:wikipedia:1191:1078:death_year_1191_gt_1127,1
moved,,不詳,南宋,醉太平 (劉過),不詳/醉太平 (劉過),南宋/醉太平 (劉過),劉過,劉過:wikisource:1206:1154:death_year_1206_gt_1127,1
moved,,不詳,南宋,醉醒吟,不詳/醉醒吟,南宋/醉醒吟,仇遠,仇遠:wikipedia::1247:birth_year_1247_ge_1127_death_unknown,1
moved,,不詳,南宋,采桑子 (呂本中),不詳/采桑子 (呂本中),南宋/采桑子 (呂本中),呂本中,呂本中:wikisource:1145:1084:death_year_1145_gt_1127,1
moved,,不詳,北宋,野次,不詳/野次,北宋/野次,劉攽,劉攽:wikipedia:1088:1022:death_year_1088_le_1127,1
moved,,不詳,北宋,釣渚詩,不詳/釣渚詩,北宋/釣渚詩,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,銷暑樓,不詳/銷暑樓,北宋/銷暑樓,陳舜俞,陳舜俞:wikipedia:1076:1026:death_year_1076_le_1127,1
moved,,不詳,北宋,關侯廟,不詳/關侯廟,北宋/關侯廟,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,阿彌陀經義疏,不詳/阿彌陀經義疏,北宋/阿彌陀經義疏,元照,元照:wikipedia:1116:1048:death_year_1116_le_1127,1
moved,,不詳,南宋,集驗方,不詳/集驗方,南宋/集驗方,洪遵,洪遵:wikipedia:1174:1120:death_year_1174_gt_1127,1
moved,,不詳,南宋,離武林,不詳/離武林,南宋/離武林,方翥,方翥:wikipedia:1175:1110:death_year_1175_gt_1127,1
moved,,不詳,北宋,雨中宿超化寺,不詳/雨中宿超化寺,北宋/雨中宿超化寺,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,雪後黃樓寄負山居士,不詳/雪後黃樓寄負山居士,北宋/雪後黃樓寄負山居士,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,雲南買馬記,不詳/雲南買馬記,北宋/雲南買馬記,楊佐,楊佐:wikipedia:1067:1007:death_year_1067_le_1127,1
moved,,不詳,北宋,靈台秘苑,不詳/靈台秘苑,北宋/靈台秘苑,王安禮,王安禮:wikisource:1095:1034:death_year_1095_le_1127,1
moved,,不詳,北宋,靈源大道歌,不詳/靈源大道歌,北宋/靈源大道歌,曹文逸,曹文逸:wikipedia:1125:1119:death_year_1125_le_1127,1
moved,,不詳,北宋,韓忠獻公遺事,不詳/韓忠獻公遺事,北宋/韓忠獻公遺事,強至,強至:wikipedia:1076:1022:death_year_1076_le_1127,1
moved,,不詳,南宋,題宜興張大年家㕔事屏,不詳/題宜興張大年家㕔事屏,南宋/題宜興張大年家㕔事屏,岳飛,岳飛:wikisource:1142:1103:death_year_1142_gt_1127,1
moved,,不詳,北宋,題廟,不詳/題廟,北宋/題廟,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,南宋,題木犀圖,不詳/題木犀圖,南宋/題木犀圖,趙構,趙構:wikipedia:1187:1107:death_year_1187_gt_1127,1
moved,,不詳,北宋,題李公麟畫歸去來圖,不詳/題李公麟畫歸去來圖,北宋/題李公麟畫歸去來圖,陳師錫,陳師錫:wikipedia:1121:1053:death_year_1121_le_1127,1
moved,,不詳,南宋,題趙知德所居,不詳/題趙知德所居,南宋/題趙知德所居,洪皓,洪皓:wikisource:1155:1088:death_year_1155_gt_1127,1
moved,,不詳,北宋,駕幸太學倡和,不詳/駕幸太學倡和,北宋/駕幸太學倡和,李格非,李格非:wikisource:1105:1045:death_year_1105_le_1127,1
moved,,不詳,北宋,鳳凰臺,不詳/鳳凰臺,北宋/鳳凰臺,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,鹿門寺 (李廌),不詳/鹿門寺 (李廌),北宋/鹿門寺 (李廌),李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,黃楊林詩,不詳/黃楊林詩,北宋/黃楊林詩,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
