row_uid	polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes	computed_periods	periods_original	merge_status	merge_issues
han_0049	japan.oyumi	生実藩	1627	1871	藩	江戸時代;明治時代	Oyumi	Oyumi Domain	生実藩	html_alternate_ja	1627-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0050	japan.goi	五井藩	1781	1842	藩	江戸時代	Goi	Goi Domain	五井藩	html_alternate_ja	1781-1842		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代	江戸時代	folder_ready	
han_0051	japan.tsurumaki	鶴牧藩	1827	1871	藩	江戸時代;明治時代	Tsurumaki	Tsurumaki Domain	鶴牧藩	html_alternate_ja	1827-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0052	japan.jozai	請西藩	1825	1871	藩	江戸時代;明治時代	Jōzai	Jōzai Domain	請西藩	html_alternate_ja	1825-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0053	japan.iino	飯野藩	1648	1871	藩	江戸時代;明治時代	Iino	Iino Domain	飯野藩	html_alternate_ja	1648-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0054	japan.ichinomiya	一宮藩	1826	1871	藩	江戸時代;明治時代	Ichinomiya	Ichinomiya Domain	一宮藩	html_alternate_ja	1826-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0055	japan.sanuki	佐貫藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Sanuki	Sanuki Domain	佐貫藩	html_alternate_ja	1590-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0056	japan.kururi	久留里藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Kururi	Kururi Domain	久留里藩	html_alternate_ja	1590-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0057	japan.otaki	大多喜藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Ōtaki	Ōtaki Domain	大多喜藩	html_alternate_ja	1590-1871		polity	Kantō region	Kazusa Province (Present-day Central Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0058	japan.awa_katsuyama	安房勝山藩	1622	1871	藩	江戸時代;明治時代	Awa-Katsuyama	Awa-Katsuyama Domain	安房勝山藩	html_alternate_ja	1622-1871		polity	Kantō region	Awa Province (Present-day Southern Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0059	japan.hojo	北条藩	1638	1827	藩	江戸時代	Hōjō	Hōjō Domain	北条藩	html_alternate_ja	1638-1827		polity	Kantō region	Awa Province (Present-day Southern Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代	江戸時代	folder_ready	
han_0060	japan.tokushima	徳島藩	1601	1871	藩	安土桃山時代;江戸時代;明治時代	Tokushima	Tokushima Domain	徳島藩	html_alternate_ja	1601-1871		polity	Kantō region	Awa Province (Present-day Southern Chiba Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0061	japan.okabe	岡部藩	1649	1871	藩	江戸時代;明治時代	Okabe	Okabe Domain	岡部藩	html_alternate_ja	1649-1871		polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0062	japan.iwatsuki	岩槻藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Iwatsuki	Iwatsuki Domain	岩槻藩	html_alternate_ja	1590-1871		polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0063	japan.kawagoe	川越藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Kawagoe	Kawagoe Domain	川越藩	html_alternate_ja	1590-1871		polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0064	japan.mutsuura	六浦藩	1722	1871	藩	江戸時代;明治時代	Mutsuura	Mutsuura Domain	六浦藩	html_alternate_ja	1722-1871		polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
