folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
clean,中國漢文,三國,佛說釋摩男本四子經,,佛說釋摩男本四子經,佛說釋摩男本四子經,佛說釋摩男本四子經,,,1,中國漢文\raw\三國\佛說釋摩男本四子經\佛說釋摩男本四子經__juan_01.txt,中國漢文\clean\三國\佛說釋摩男本四子經\佛說釋摩男本四子經__juan_01.txt,1984,1947,0
clean,中國漢文,三國,佛說長者音悅經,,佛說長者音悅經,佛說長者音悅經,佛說長者音悅經,,,1,中國漢文\raw\三國\佛說長者音悅經\佛說長者音悅經__juan_01.txt,中國漢文\clean\三國\佛說長者音悅經\佛說長者音悅經__juan_01.txt,2705,2662,0
clean,中國漢文,三國,佛說阿難四事經,,佛說阿難四事經,佛說阿難四事經,佛說阿難四事經,,,1,中國漢文\raw\三國\佛說阿難四事經\佛說阿難四事經__juan_01.txt,中國漢文\clean\三國\佛說阿難四事經\佛說阿難四事經__juan_01.txt,1893,1856,0
clean,中國漢文,三國,佛說須摩提長者經,,佛說須摩提長者經,佛說須摩提長者經,佛說須摩提長者經,,,1,中國漢文\raw\三國\佛說須摩提長者經\佛說須摩提長者經__juan_01.txt,中國漢文\clean\三國\佛說須摩提長者經\佛說須摩提長者經__juan_01.txt,4307,4268,0
clean,中國漢文,三國,佛說須賴經 (白延譯),,佛說須賴經 (白延譯),佛說須賴經 (白延譯),佛說須賴經 (白延譯),,,1,中國漢文\raw\三國\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt,中國漢文\clean\三國\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt,7098,7056,0
clean,中國漢文,三國,佛說黑氏梵志經,,佛說黑氏梵志經,佛說黑氏梵志經,佛說黑氏梵志經,,,1,中國漢文\raw\三國\佛說黑氏梵志經\佛說黑氏梵志經__juan_01.txt,中國漢文\clean\三國\佛說黑氏梵志經\佛說黑氏梵志經__juan_01.txt,1629,1592,0
clean,中國漢文,三國,佛說齋經,,佛說齋經,佛說齋經,佛說齋經,,,1,中國漢文\raw\三國\佛說齋經\佛說齋經__juan_01.txt,中國漢文\clean\三國\佛說齋經\佛說齋經__juan_01.txt,1911,1874,0
clean,中國漢文,三國,佛說龍施女經,,佛說龍施女經,佛說龍施女經,佛說龍施女經,,,1,中國漢文\raw\三國\佛說龍施女經\佛說龍施女經__juan_01.txt,中國漢文\clean\三國\佛說龍施女經\佛說龍施女經__juan_01.txt,1045,1008,0
clean,中國漢文,三國,佛開解梵志阿颰經,,佛開解梵志阿颰經,佛開解梵志阿颰經,佛開解梵志阿颰經,,,1,中國漢文\raw\三國\佛開解梵志阿颰經\佛開解梵志阿颰經__juan_01.txt,中國漢文\clean\三國\佛開解梵志阿颰經\佛開解梵志阿颰經__juan_01.txt,7712,7666,0
clean,中國漢文,三國,侍五官中郎將建章臺集詩,,侍五官中郎將建章臺集詩,侍五官中郎將建章臺集詩,侍五官中郎將建章臺集詩,,,1,中國漢文\raw\三國\侍五官中郎將建章臺集詩\侍五官中郎將建章臺集詩__juan_01.txt,中國漢文\clean\三國\侍五官中郎將建章臺集詩\侍五官中郎將建章臺集詩__juan_01.txt,236,199,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷1,,,1,中國漢文\raw\三國\全三國文\全三國文__juan_01.txt,中國漢文\clean\三國\全三國文\全三國文__juan_01.txt,6940,6832,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷2,,,2,中國漢文\raw\三國\全三國文\全三國文__juan_02.txt,中國漢文\clean\三國\全三國文\全三國文__juan_02.txt,7509,7380,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷3,,,3,中國漢文\raw\三國\全三國文\全三國文__juan_03.txt,中國漢文\clean\三國\全三國文\全三國文__juan_03.txt,7680,7553,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷4,,,4,中國漢文\raw\三國\全三國文\全三國文__juan_04.txt,中國漢文\clean\三國\全三國文\全三國文__juan_04.txt,4905,4818,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷5,,,5,中國漢文\raw\三國\全三國文\全三國文__juan_05.txt,中國漢文\clean\三國\全三國文\全三國文__juan_05.txt,5587,5463,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷6,,,6,中國漢文\raw\三國\全三國文\全三國文__juan_06.txt,中國漢文\clean\三國\全三國文\全三國文__juan_06.txt,6977,6851,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷7,,,7,中國漢文\raw\三國\全三國文\全三國文__juan_07.txt,中國漢文\clean\三國\全三國文\全三國文__juan_07.txt,7326,7264,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷8,,,8,中國漢文\raw\三國\全三國文\全三國文__juan_08.txt,中國漢文\clean\三國\全三國文\全三國文__juan_08.txt,11836,11736,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷9,,,9,中國漢文\raw\三國\全三國文\全三國文__juan_09.txt,中國漢文\clean\三國\全三國文\全三國文__juan_09.txt,5815,5689,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷10,,,10,中國漢文\raw\三國\全三國文\全三國文__juan_10.txt,中國漢文\clean\三國\全三國文\全三國文__juan_10.txt,7078,6961,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷11,,,11,中國漢文\raw\三國\全三國文\全三國文__juan_11.txt,中國漢文\clean\三國\全三國文\全三國文__juan_11.txt,5534,5414,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷12,,,12,中國漢文\raw\三國\全三國文\全三國文__juan_12.txt,中國漢文\clean\三國\全三國文\全三國文__juan_12.txt,6477,6370,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷13,,,13,中國漢文\raw\三國\全三國文\全三國文__juan_13.txt,中國漢文\clean\三國\全三國文\全三國文__juan_13.txt,6745,6656,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷14,,,14,中國漢文\raw\三國\全三國文\全三國文__juan_14.txt,中國漢文\clean\三國\全三國文\全三國文__juan_14.txt,6569,6475,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷15,,,15,中國漢文\raw\三國\全三國文\全三國文__juan_15.txt,中國漢文\clean\三國\全三國文\全三國文__juan_15.txt,6774,6689,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷16,,,16,中國漢文\raw\三國\全三國文\全三國文__juan_16.txt,中國漢文\clean\三國\全三國文\全三國文__juan_16.txt,8873,8784,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷17,,,17,中國漢文\raw\三國\全三國文\全三國文__juan_17.txt,中國漢文\clean\三國\全三國文\全三國文__juan_17.txt,5892,5804,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷18,,,18,中國漢文\raw\三國\全三國文\全三國文__juan_18.txt,中國漢文\clean\三國\全三國文\全三國文__juan_18.txt,6153,6061,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷19,,,19,中國漢文\raw\三國\全三國文\全三國文__juan_19.txt,中國漢文\clean\三國\全三國文\全三國文__juan_19.txt,7541,7458,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷20,,,20,中國漢文\raw\三國\全三國文\全三國文__juan_20.txt,中國漢文\clean\三國\全三國文\全三國文__juan_20.txt,5971,5881,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷21,,,21,中國漢文\raw\三國\全三國文\全三國文__juan_21.txt,中國漢文\clean\三國\全三國文\全三國文__juan_21.txt,5223,5137,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷22,,,22,中國漢文\raw\三國\全三國文\全三國文__juan_22.txt,中國漢文\clean\三國\全三國文\全三國文__juan_22.txt,8746,8638,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷23,,,23,中國漢文\raw\三國\全三國文\全三國文__juan_23.txt,中國漢文\clean\三國\全三國文\全三國文__juan_23.txt,7669,7576,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷24,,,24,中國漢文\raw\三國\全三國文\全三國文__juan_24.txt,中國漢文\clean\三國\全三國文\全三國文__juan_24.txt,6725,6619,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷25,,,25,中國漢文\raw\三國\全三國文\全三國文__juan_25.txt,中國漢文\clean\三國\全三國文\全三國文__juan_25.txt,8711,8604,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷26,,,26,中國漢文\raw\三國\全三國文\全三國文__juan_26.txt,中國漢文\clean\三國\全三國文\全三國文__juan_26.txt,7734,7631,0
