folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_count,min_juan_index,max_juan_index,total_char_count_raw,total_char_count_clean,empty_juan_count,example_raw_path,example_clean_path
clean,中國漢文,三國,佛說維摩詰經,,佛說維摩詰經,佛說維摩詰經,佛說維摩詰經/卷01,,,2,1,2,30581,30561,0,中國漢文\raw\三國\佛說維摩詰經\佛說維摩詰經__juan_01.txt,中國漢文\clean\三國\佛說維摩詰經\佛說維摩詰經__juan_01.txt
clean,中國漢文,三國,佛說老女人經,,佛說老女人經,佛說老女人經,佛說老女人經,,,1,1,1,1057,1014,0,中國漢文\raw\三國\佛說老女人經\佛說老女人經__juan_01.txt,中國漢文\clean\三國\佛說老女人經\佛說老女人經__juan_01.txt
clean,中國漢文,三國,佛說蓱沙王五願經,,佛說蓱沙王五願經,佛說蓱沙王五願經,佛說蓱沙王五願經,,,1,1,1,3651,3614,0,中國漢文\raw\三國\佛說蓱沙王五願經\佛說蓱沙王五願經__juan_01.txt,中國漢文\clean\三國\佛說蓱沙王五願經\佛說蓱沙王五願經__juan_01.txt
clean,中國漢文,三國,佛說諸法本經,,佛說諸法本經,佛說諸法本經,佛說諸法本經,,,1,1,1,465,426,0,中國漢文\raw\三國\佛說諸法本經\佛說諸法本經__juan_01.txt,中國漢文\clean\三國\佛說諸法本經\佛說諸法本經__juan_01.txt
clean,中國漢文,三國,佛說賴吒和羅經,,佛說賴吒和羅經,佛說賴吒和羅經,佛說賴吒和羅經,,,1,1,1,5673,5630,0,中國漢文\raw\三國\佛說賴吒和羅經\佛說賴吒和羅經__juan_01.txt,中國漢文\clean\三國\佛說賴吒和羅經\佛說賴吒和羅經__juan_01.txt
clean,中國漢文,三國,佛說釋摩男本四子經,,佛說釋摩男本四子經,佛說釋摩男本四子經,佛說釋摩男本四子經,,,1,1,1,1984,1947,0,中國漢文\raw\三國\佛說釋摩男本四子經\佛說釋摩男本四子經__juan_01.txt,中國漢文\clean\三國\佛說釋摩男本四子經\佛說釋摩男本四子經__juan_01.txt
clean,中國漢文,三國,佛說長者音悅經,,佛說長者音悅經,佛說長者音悅經,佛說長者音悅經,,,1,1,1,2705,2662,0,中國漢文\raw\三國\佛說長者音悅經\佛說長者音悅經__juan_01.txt,中國漢文\clean\三國\佛說長者音悅經\佛說長者音悅經__juan_01.txt
clean,中國漢文,三國,佛說阿難四事經,,佛說阿難四事經,佛說阿難四事經,佛說阿難四事經,,,1,1,1,1893,1856,0,中國漢文\raw\三國\佛說阿難四事經\佛說阿難四事經__juan_01.txt,中國漢文\clean\三國\佛說阿難四事經\佛說阿難四事經__juan_01.txt
clean,中國漢文,三國,佛說須摩提長者經,,佛說須摩提長者經,佛說須摩提長者經,佛說須摩提長者經,,,1,1,1,4307,4268,0,中國漢文\raw\三國\佛說須摩提長者經\佛說須摩提長者經__juan_01.txt,中國漢文\clean\三國\佛說須摩提長者經\佛說須摩提長者經__juan_01.txt
clean,中國漢文,三國,佛說須賴經 (白延譯),,佛說須賴經 (白延譯),佛說須賴經 (白延譯),佛說須賴經 (白延譯),,,1,1,1,7098,7056,0,中國漢文\raw\三國\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt,中國漢文\clean\三國\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt
