"chars","n"
"戶",473629
"雄",472728
"巳",472419
"揚",471421
"塞",471012
"沈",471011
"這",470877
"仰",469901
"充",469709
"覆",469482
"游",469414
"域",469352
"想",469150
"豐",468541
"朔",467904
"帥",465024
"危",463525
"講",461958
"隆",460971
"增",460517
"蕭",459686
"羊",459644
"訓",458910
"桂",457708
"輔",456976
"市",456655
"井",455593
"卦",454923
"郊",454592
"熟",452334
"園",451553
"辨",451419
"葬",451173
"註",450835
"斗",448091
"族",448061
"奇",447767
"庚",447311
"则",446917
"籍",446149
"珠",446147
"墓",445650
"漸",443886
"悲",443301
"旗",442604
"奔",442380
"洛",442179
"将",441700
"假",441082
"農",440862
"敵",440640
"蜀",439642
"甫",439202
"厥",438617
"專",438594
"祠",437996
"社",437574
"誤",437460
"裏",437450
"船",436101
"薦",435586
"消",434865
"責",434150
"徵",434031
"棄",432420
"畏",431891
"供",431709
"嗣",431004
"堅",427850
"秀",426896
"賓",426718
"候",425753
"羽",425290
"財",422678
"蘭",422303
"麻",422265
"委",422105
"震",422093
"撰",421941
"仕",420807
"符",420806
"丙",420692
"鬼",419683
"效",419486
"舞",418935
"雙",418729
"碑",416834
"討",416340
"慮",415714
"梅",415592
"佐",415532
"蔡",415095
"尹",414213
"煎",413574
"赴",413106
"避",413081
"懼",413037
"個",412574
"肅",412439
"圍",412122
"吐",411543
"汗",411372
"祥",410538
"術",409653
"否",408884
"靖",408652
"獄",408468
"巡",407379
"户",406932
"維",406631
"屋",405312
"来",405006
"鳳",403439
"属",403249
"蒙",402785
"爭",402025
"你",401430
"投",401310
"僕",400939
"衡",400492
"钱",399796
"弱",398763
"竊",396517
"弗",396227
"脉",396219
"翰",395931
"寅",395582
"翁",394438
"忍",394205
"蒼",393797
"嶺",393473
"旨",392901
"邦",392408
"貧",391302
"稍",389994
"諫",389087
"助",388632
"禍",388370
"熙",388294
"駕",388051
"證",387896
"賈",387135
"黑",386610
"憲",386015
"現",385615
"壬",384750
"違",384242
"決",384099
"招",383971
"冷",383777
"禹",382548
"均",382116
"班",382096
"銘",381679
"格",380502
"村",380382
"館",379655
"黨",378829
"逐",378777
"勸",377108
"伊",376965
"戊",375914
"諱",374776
"逢",374608
"柔",374413
"采",373700
"雷",372848
"閒",372646
"醉",372177
"席",371970
"荒",371885
"背",371849
"妄",370043
"哭",369684
"慈",369533
"誅",369267
"述",368865
"鼎",368296
"録",367974
"霜",367482
"摩",366994
"策",366840
"絕",366740
"柳",366395
"歎",365726
"偏",365402
"鍾",365232
"沒",365084
"鹽",364796
"逝",363829
"索",363507
"糧",363017
"襄",362190
"旣",362143
"縱",361679
"絲",361205
"桑",360723
"曉",360283
"壁",359989
"堯",359970
"豆",359865
"倉",359835
"穆",359151
"凶",358800
"屯",358451
"際",357776
"阳",357301
"禪",357079
"芳",356970
"癸",356180
"怨",356179
"煩",356033
"翻",355616
"丑",355242
"革",355020
"牧",354821
"酉",354282
"麗",354133
"把",353061
"舜",352703
"墨",351508
"殷",350631
"洗",350273
"印",350036
"稽",349612
"童",349028
"暮",348793
"汤",347831
"戎",347739
"范",347321
"崔",345882
"頃",345758
"炒",345519
"翼",345387
"賀",344862
"費",344597
"𤣥",344327
"堪",344321
"却",343932
"壯",343376
"巖",343045
"屈",343018
"脫",342596
"愁",342490
"短",342438
"桓",342349
"振",342323
"桃",342159
"減",341905
"襲",341842
"輿",340619
"斬",340197
"玄",339903
"圓",339363
"損",337245
"傅",337017
"过",335719
"履",335561
"險",335452
"雍",335431
"卽",334478
"勇",334400
"淵",334384
"強",334286
"祝",332727
"逸",332015
"影",331695
"恨",331603
"药",331582
"贊",330816
"階",330595
"群",330537
"廬",330508
"配",330286
"渡",329961
"风",329665
"吹",328861
"葢",328563
"額",328317
"允",328107
"錦",327669
"歷",327525
"紹",327519
"陶",327246
"貫",327125
"審",326964
"旦",326516
"辟",326383
"烈",326113
"亥",325926
"續",325871
"頗",325783
"築",325631
"錫",325214
"鶴",325197
"宅",324906
"循",324862
"寡",324785
"昏",324231
"歡",323430
"晚",323078
"奴",322763
"庸",322701
"底",322172
"蜜",320824
"盤",320741
"扶",320731
"坤",320654
"龜",320559
"奪",319911
"宇",319834
"佳",319506
"詣",318522
"含",318359
"倫",317838
"寳",317655
"研",317646
"毫",317554
"阴",316977
"姜",316570
"戌",316301
"勒",315425
"惜",315245
"速",314577
"享",313906
"盜",313811
"擇",313741
"胃",312916
"煙",312628
"祿",312454
"旁",312203
"旋",311902
"吟",311021
"侵",310609
"宴",310273
"强",310063
"顔",309237
"祐",309062
"盧",308634
"式",308543
"台",308061
"占",307052
"翠",306858
"希",305268
"鐵",305214
"規",305146
"殘",304292
"刀",304282
"津",303688
"碧",303661
"遲",303118
"卯",303095
"契",302886
"忌",302850
"杖",302379
"操",302261
"卜",302215
"軒",301389
"況",301197
"跡",301163
"敎",300051
"區",298425
"竒",297598
"稷",297536
"懐",297358
"材",297057
"尾",296805
"倒",295529
"遍",294612
"介",293787
"馳",293561
"導",292878
"孰",292735
"訪",291999
"暴",291503
"寂",291464
"輒",291383
"穀",290272
"賤",290149
"純",289882
"况",289434
"豫",288965
"徑",288866
"樞",288861
"旅",288505
"盈",287644
"岸",287599
"慎",287417
"限",287400
"横",287355
"歴",287201
"巴",287049
"瑞",286949
"淸",286392
"困",285979
"檢",285920
"渠",285866
"珍",285857
"尼",285551
"茂",285528
"優",285018
"護",284834
"厯",284431
"溫",284409
"肯",284158
"弓",284048
"側",283272
"抱",282685
"屢",282265
"啟",282123
