character,laoguoyin,zhuyin,ipa,codepoint
埤,pi2,ㄆㄧ2,pʰi2,U+57E4
培,pei2,ㄆㄟ2,pʰeɪ2,U+57F9
培,peu4,ㄆㄡ4,pʰoʊ4,U+57F9
基,j,ㄐ,tɕ,U+57FA
基,ji1,ㄐㄧ1,tɕi1,U+57FA
埻,guo5,ㄍㄨㄛ5,kuɔ5,U+57FB
埻,zhun3,ㄓㄨㄣ3,ʈʂuən3,U+57FB
堂,tang2,ㄊㄤ2,tʰɑŋ2,U+5802
堅,jian1,ㄐㄧㄢ1,tɕiɛn1,U+5805
堆,duei1,ㄉㄨㄟ1,tueɪ1,U+5806
堇,jin3,ㄐㄧㄣ3,tɕin3,U+5807
堇,qin2,ㄑㄧㄣ2,tɕʰin2,U+5807
堋,beng1,ㄅㄥ1,pəŋ1,U+580B
堋,peng2,ㄆㄥ2,pʰəŋ2,U+580B
堡,bau3,ㄅㄠ3,pɑʊ3,U+5821
堤,di3,ㄉㄧ3,ti3,U+5824
堤,ti2,ㄊㄧ2,tʰi2,U+5824
堪,kan1,ㄎㄢ1,kʰan1,U+582A
堯,yau2,ㄧㄠ2,iɑʊ2,U+582F
報,bau4,ㄅㄠ4,pɑʊ4,U+5831
場,chang2,ㄔㄤ2,ʈʂʰɑŋ2,U+5834
場,chang3,ㄔㄤ3,ʈʂʰɑŋ3,U+5834
堵,du3,ㄉㄨ3,tu3,U+5835
堵,zhe3,ㄓㄝ3,ʈʂɛ3,U+5835
塊,kuai4,ㄎㄨㄞ4,kʰuaɪ4,U+584A
塌,ta5,ㄊㄚ5,tʰa5,U+584C
塔,ta5,ㄊㄚ5,tʰa5,U+5854
塗,cha2,ㄔㄚ2,ʈʂʰa2,U+5857
塗,tu2,ㄊㄨ2,tʰu2,U+5857
塘,tang2,ㄊㄤ2,tʰɑŋ2,U+5858
塞,sai4,ㄙㄞ4,saɪ4,U+585E
塞,seo5,ㄙㄜ5,sɤ5,U+585E
塡,tian2,ㄊㄧㄢ2,tʰiɛn2,U+5861
塡,zhen1,ㄓㄣ1,ʈʂən1,U+5861
塡,zhen4,ㄓㄣ4,ʈʂən4,U+5861
填,tian2,ㄊㄧㄢ2,tʰiɛn2,U+586B
塲,chang3,ㄔㄤ3,ʈʂʰɑŋ3,U+5872
塵,chen2,ㄔㄣ2,ʈʂʰən2,U+5875
塾,shu5,ㄕㄨ5,ʂu5,U+587E
墅,shu4,ㄕㄨ4,ʂu4,U+5885
墊,dian4,ㄉㄧㄢ4,tiɛn4,U+588A
墓,mu4,ㄇㄨ4,mu4,U+5893
墜,zhuei4,ㄓㄨㄟ4,ʈʂueɪ4,U+589C
增,zeng1,ㄗㄥ1,tsəŋ1,U+589E
墨,m,ㄇ,m,U+58A8
墨,me5,ㄇㄝ5,mɛ5,U+58A8
墨,meo5,ㄇㄜ5,mɤ5,U+58A8
墩,dun1,ㄉㄨㄣ1,tuən1,U+58A9
墮,duo4,ㄉㄨㄛ4,tuɔ4,U+58AE
墮,huei1,ㄏㄨㄟ1,xueɪ1,U+58AE
墻,ciang2,ㄘㄧㄤ2,,U+58BB
墾,ken3,ㄎㄣ3,kʰən3,U+58BE
壇,tan2,ㄊㄢ2,tʰan2,U+58C7
壑,ho5,ㄏㄛ5,xɔ5,U+58D1
壓,ya5,ㄧㄚ5,iɑ5,U+58D3
壘,luei3,ㄌㄨㄟ3,lueɪ3,U+58D8
壞,huai4,ㄏㄨㄞ4,xuaɪ4,U+58DE
壟,lung3,ㄌㄨㄥ3,lʊŋ3,U+58DF
士,shi4,ㄕㄭ4,ʂɨ4,U+58EB
壬,ren2,ㄖㄣ2,ʐən2,U+58EC
壯,zhuang4,ㄓㄨㄤ4,,U+58EF
声,sheng1,ㄕㄥ1,ʂəŋ1,U+58F0
壳,ko5,ㄎㄛ5,kʰɔ5,U+58F3
壺,hu2,ㄏㄨ2,xu2,U+58FA
夏,xia4,ㄒㄧㄚ4,ɕiɑ4,U+590F
夔,kuei2,ㄎㄨㄟ2,kʰueɪ2,U+5914
外,wai4,ㄨㄞ4,uaɪ4,U+5916
夙,su5,ㄙㄨ5,su5,U+5919
多,do1,ㄉㄛ1,tɔ1,U+591A
多,du,ㄉㄨ,tu,U+591A
夜,ye4,ㄧㄝ4,iɛ4,U+591C
夠,geu4,ㄍㄡ4,koʊ4,U+5920
夢,mung4,ㄇㄨㄥ4,mʊŋ4,U+5922
夥,huo3,ㄏㄨㄛ3,xuɔ3,U+5925
大,da4,ㄉㄚ4,ta4,U+5927
大,dai4,ㄉㄞ4,taɪ4,U+5927
天,tian1,ㄊㄧㄢ1,tʰiɛn1,U+5929
太,tai4,ㄊㄞ4,tʰaɪ4,U+592A
夫,fu1,ㄈㄨ1,fu1,U+592B
夫,fu2,ㄈㄨ2,fu2,U+592B
夭,yau1,ㄧㄠ1,iɑʊ1,U+592D
夭,yau3,ㄧㄠ3,iɑʊ3,U+592D
央,yang1,ㄧㄤ1,,U+592E
夰,gau3,ㄍㄠ3,kɑʊ3,U+5930
夰,hau4,ㄏㄠ4,xɑʊ4,U+5930
失,shi5,ㄕㄭ5,ʂɨ5,U+5931
夷,yi2,ㄧ2,i2,U+5937
夾,jia5,ㄐㄧㄚ5,tɕiɑ5,U+593E
夾,jie5,ㄐㄧㄝ5,tɕiɛ5,U+593E
奄,ian3,ㄧㄢ3,iɛn3,U+5944
奄,yan1,ㄧㄢ1,iɛn1,U+5944
奄,yan3,ㄧㄢ3,iɛn3,U+5944
奇,ji1,ㄐㄧ1,tɕi1,U+5947
奇,qi2,ㄑㄧ2,tɕʰi2,U+5947
奈,nai4,ㄋㄞ4,naɪ4,U+5948
奎,kuei1,ㄎㄨㄟ1,kʰueɪ1,U+594E
奏,zeu4,ㄗㄡ4,tsoʊ4,U+594F
契,qi4,ㄑㄧ4,tɕʰi4,U+5951
契,qi5,ㄑㄧ5,tɕʰi5,U+5951
契,qie5,ㄑㄧㄝ5,tɕʰiɛ5,U+5951
契,sie5,ㄙㄧㄝ5,siɛ5,U+5951
奔,ben1,ㄅㄣ1,pən1,U+5954
套,tau4,ㄊㄠ4,tʰɑʊ4,U+5957
奠,dian4,ㄉㄧㄢ4,tiɛn4,U+5960
奢,she1,ㄕㄝ1,ʂɛ1,U+5962
奢,sheo1,ㄕㄜ1,ʂɤ1,U+5962
奧,au4,ㄠ4,ɑʊ4,U+5967
奪,de5,ㄉㄝ5,tɛ5,U+596A
奪,deo5,ㄉㄜ5,tɤ5,U+596A
奪,duei4,ㄉㄨㄟ4,tueɪ4,U+596A
奪,duo5,ㄉㄨㄛ5,tuɔ5,U+596A
奮,fen4,ㄈㄣ4,fən4,U+596E
女,njyu3,ㄬㄩ3,ɲy3,U+5973
女,nyu3,ㄋㄩ3,ny3,U+5973
女,ru3,ㄖㄨ3,ʐu3,U+5973
女,ten2,ㄊㄣ2,tʰən2,U+5973
奴,nu2,ㄋㄨ2,nu2,U+5974
奸,jian1,ㄐㄧㄢ1,tɕiɛn1,U+5978
她,yi1,ㄧ1,i1,U+5979
奼,cha4,ㄔㄚ4,ʈʂʰa4,U+597C
奼,du4,ㄉㄨ4,tu4,U+597C
好,hau3,ㄏㄠ3,xɑʊ3,U+597D
好,hau4,ㄏㄠ4,xɑʊ4,U+597D
妁,zho5,ㄓㄛ5,ʈʂɔ5,U+5981
如,ru2,ㄖㄨ2,ʐu2,U+5982
妃,fei1,ㄈㄟ1,feɪ1,U+5983
妃,pei4,ㄆㄟ4,pʰeɪ4,U+5983
妄,wang4,ㄨㄤ4,,U+5984
妊,ren4,ㄖㄣ4,ʐən4,U+598A
妎,hai4,ㄏㄞ4,xaɪ4,U+598E
妒,du4,ㄉㄨ4,tu4,U+5992
妙,miau4,ㄇㄧㄠ4,miɑʊ4,U+5999
妝,zhuang1,ㄓㄨㄤ1,,U+599D
妠,na5,ㄋㄚ5,na5,U+59A0
妠,nan4,ㄋㄢ4,nan4,U+59A0
妠,nuo5,ㄋㄨㄛ5,nuɔ5,U+59A0
妥,tuo3,ㄊㄨㄛ3,tʰuɔ3,U+59A5
妬,du4,ㄉㄨ4,tu4,U+59AC
妯,cheu1,ㄔㄡ1,ʈʂʰoʊ1,U+59AF
妯,zhu5,ㄓㄨ5,ʈʂu5,U+59AF
妹,mei4,ㄇㄟ4,meɪ4,U+59B9
妻,cyi1,ㄘㄧ1,tsʰi1,U+59BB
妾,cie5,ㄘㄧㄝ5,tsʰiɛ5,U+59BE
姆,mu3,ㄇㄨ3,mu3,U+59C6
姊,zi3,ㄗㄭ3,tsɨ3,U+59CA
始,shi3,ㄕㄭ3,ʂɨ3,U+59CB
姍,san,ㄙㄢ,san,U+59CD
姍,sian1,ㄙㄧㄢ1,siɛn1,U+59CD
姐,zie3,ㄗㄧㄝ3,tsiɛ3,U+59D0
姑,gu1,ㄍㄨ1,ku1,U+59D1
姓,sing4,ㄙㄧㄥ4,,U+59D3
委,wei3,ㄨㄟ3,ueɪ3,U+59D4
姘,peng1,ㄆㄥ1,pʰəŋ1,U+59D8
姚,yau2,ㄧㄠ2,iɑʊ2,U+59DA
姜,jiang1,ㄐㄧㄤ1,,U+59DC
姣,jiau3,ㄐㄧㄠ3,tɕiɑʊ3,U+59E3
姣,xiau2,ㄒㄧㄠ2,ɕiɑʊ2,U+59E3
姦,jian1,ㄐㄧㄢ1,tɕiɛn1,U+59E6
姨,yi2,ㄧ2,i2,U+59E8
姬,ji1,ㄐㄧ1,tɕi1,U+59EC
姻,in1,ㄧㄣ1,in1,U+59FB
姼,chi3,ㄔㄭ3,ʈʂʰɨ3,U+59FC
姼,shi2,ㄕㄭ2,ʂɨ2,U+59FC
威,wei1,ㄨㄟ1,ueɪ1,U+5A01
娃,guai1,ㄍㄨㄞ1,kuaɪ1,U+5A03
娗,tian3,ㄊㄧㄢ3,tʰiɛn3,U+5A17
娗,ting2,ㄊㄧㄥ2,,U+5A17
娘,niang2,ㄋㄧㄤ2,,U+5A18
娘,njiang2,ㄬㄧㄤ2,,U+5A18
娛,yu2,ㄩ2,y2,U+5A1B
娜,no2,ㄋㄛ2,nɔ2,U+5A1C
娟,jyuan1,ㄐㄩㄢ1,,U+5A1F
娥,ngo2,ㄫㄛ2,ŋɔ2,U+5A25
娩,mian3,ㄇㄧㄢ3,miɛn3,U+5A29
娩,wan3,ㄨㄢ3,uan3,U+5A29
娶,cyu3,ㄘㄩ3,tsʰy3,U+5A36
娼,chang1,ㄔㄤ1,ʈʂʰɑŋ1,U+5A3C
婁,leu2,ㄌㄡ2,loʊ2,U+5A41
婁,lyu2,ㄌㄩ2,ly2,U+5A41
婆,po2,ㄆㄛ2,pʰɔ2,U+5A46
婘,jyuan4,ㄐㄩㄢ4,,U+5A58
婘,qyuan2,ㄑㄩㄢ2,,U+5A58
婚,hun1,ㄏㄨㄣ1,xuən1,U+5A5A
婢,bi4,ㄅㄧ4,pi4,U+5A62
婥,chuo5,ㄔㄨㄛ5,ʈʂʰuɔ5,U+5A65
婥,nau4,ㄋㄠ4,nɑʊ4,U+5A65
婿,syu4,ㄙㄩ4,sy4,U+5A7F
媒,mei2,ㄇㄟ2,meɪ2,U+5A92
媚,mei4,ㄇㄟ4,meɪ4,U+5A9A
媛,yuan4,ㄩㄢ4,,U+5A9B
媞,shi4,ㄕㄭ4,ʂɨ4,U+5A9E
媞,ti2,ㄊㄧ2,tʰi2,U+5A9E
媞,zhai4,ㄓㄞ4,ʈʂaɪ4,U+5A9E
媰,chu2,ㄔㄨ2,ʈʂʰu2,U+5AB0
媰,zheu1,ㄓㄡ1,ʈʂoʊ1,U+5AB0
媽,ma1,ㄇㄚ1,ma1,U+5ABD
媾,geu4,ㄍㄡ4,koʊ4,U+5ABE
嫁,jia4,ㄐㄧㄚ4,tɕiɑ4,U+5AC1
嫂,sau3,ㄙㄠ3,sɑʊ3,U+5AC2
嫉,zyi5,ㄗㄧ5,tsi5,U+5AC9
嫌,xian2,ㄒㄧㄢ2,ɕiɛn2,U+5ACC
嫖,piau2,ㄆㄧㄠ2,pʰiɑʊ2,U+5AD6
嫡,di5,ㄉㄧ5,ti5,U+5AE1
嫩,nun4,ㄋㄨㄣ4,nuən4,U+5AE9
嬈,njiau3,ㄬㄧㄠ3,ɲiɑʊ3,U+5B08
嬈,rau2,ㄖㄠ2,ʐɑʊ2,U+5B08
嬈,xiau4,ㄒㄧㄠ4,ɕiɑʊ4,U+5B08
嬉,xi1,ㄒㄧ1,ɕi1,U+5B09
嬌,jiau1,ㄐㄧㄠ1,tɕiɑʊ1,U+5B0C
嬛,qyung2,ㄑㄩㄥ2,tɕʰyŋ2,U+5B1B
嬛,xyuan,ㄒㄩㄢ,,U+5B1B
嬭,nai3,ㄋㄞ3,naɪ3,U+5B2D
嬭,ni3,ㄋㄧ3,ni3,U+5B2D
嬰,ing1,ㄧㄥ1,,U+5B30
嬲,njiau3,ㄬㄧㄠ3,ɲiɑʊ3,U+5B32
嬴,ing2,ㄧㄥ2,,U+5B34
嬸,shen3,ㄕㄣ3,ʂən3,U+5B38
嬾,lan3,ㄌㄢ3,lan3,U+5B3E
孀,shuang1,ㄕㄨㄤ1,,U+5B40
子,zi,ㄗㄭ,tsɨ,U+5B50
子,zi3,ㄗㄭ3,tsɨ3,U+5B50
子,zi4,ㄗㄭ4,tsɨ4,U+5B50
孑,jie5,ㄐㄧㄝ5,tɕiɛ5,U+5B51
孔,kung3,ㄎㄨㄥ3,kʰʊŋ3,U+5B54
字,zi4,ㄗㄭ4,tsɨ4,U+5B57
存,cun2,ㄘㄨㄣ2,tsʰuən2,U+5B58
孝,xiau4,ㄒㄧㄠ4,ɕiɑʊ4,U+5B5D
孟,meng4,ㄇㄥ4,məŋ4,U+5B5F
孤,gu1,ㄍㄨ1,ku1,U+5B64
孨,nji5,ㄬㄧ5,ɲi5,U+5B68
孨,zhuan3,ㄓㄨㄢ3,ʈʂuan3,U+5B68
孨,zhuan4,ㄓㄨㄢ4,ʈʂuan4,U+5B68
孩,hai2,ㄏㄞ2,xaɪ2,U+5B69
孫,sun1,ㄙㄨㄣ1,suən1,U+5B6B
孰,shu5,ㄕㄨ5,ʂu5,U+5B70
學,xio5,ㄒㄧㄛ5,ɕiɔ5,U+5B78
孺,ru2,ㄖㄨ2,ʐu2,U+5B7A
孽,njie5,ㄬㄧㄝ5,ɲiɛ5,U+5B7D
宅,zheo5,ㄓㄜ5,ʈʂɤ5,U+5B85
宇,yu3,ㄩ3,y3,U+5B87
守,sheu3,ㄕㄡ3,ʂoʊ3,U+5B88
安,an,ㄢ,an,U+5B89
安,an1,ㄢ1,an1,U+5B89
宋,sung4,ㄙㄨㄥ4,sʊŋ4,U+5B8B
完,wan2,ㄨㄢ2,uan2,U+5B8C
宏,hung2,ㄏㄨㄥ2,xʊŋ2,U+5B8F
宕,dang4,ㄉㄤ4,tɑŋ4,U+5B95
官,guan1,ㄍㄨㄢ1,kuan1,U+5B98
宙,zheu4,ㄓㄡ4,ʈʂoʊ4,U+5B99
宜,yi2,ㄧ2,i2,U+5B9C
宝,bau3,ㄅㄠ3,pɑʊ3,U+5B9D
客,ke5,ㄎㄝ5,kʰɛ5,U+5BA2
客,keo5,ㄎㄜ5,kʰɤ5,U+5BA2
宣,syuan1,ㄙㄩㄢ1,,U+5BA3
室,shi5,ㄕㄭ5,ʂɨ5,U+5BA4
宥,yeu4,ㄧㄡ4,iɔʊ4,U+5BA5
宦,huan4,ㄏㄨㄢ4,xuan4,U+5BA6
宮,gung1,ㄍㄨㄥ1,kʊŋ1,U+5BAE
害,hai4,ㄏㄞ4,xaɪ4,U+5BB3
宵,ieu,ㄧㄡ,iɔʊ,U+5BB5
宵,siau1,ㄙㄧㄠ1,siɑʊ1,U+5BB5
家,jia,ㄐㄧㄚ,tɕiɑ,U+5BB6
家,jia1,ㄐㄧㄚ1,tɕiɑ1,U+5BB6
容,yung2,,,U+5BB9
宿,sieu4,ㄙㄧㄡ4,siɔʊ4,U+5BBF
宿,su5,ㄙㄨ5,su5,U+5BBF
寂,zyi5,ㄗㄧ5,tsi5,U+5BC2
寅,in2,ㄧㄣ2,in2,U+5BC5
寅,yin2,ㄧㄧㄣ2,,U+5BC5
密,mi5,ㄇㄧ5,mi5,U+5BC6
密,xi1,ㄒㄧ1,ɕi1,U+5BC6
寇,keu4,ㄎㄡ4,kʰoʊ4,U+5BC7
寐,mei4,ㄇㄟ4,meɪ4,U+5BD0
寒,an,ㄢ,an,U+5BD2
寒,han2,ㄏㄢ2,xan2,U+5BD2
寔,shi5,ㄕㄭ5,ʂɨ5,U+5BD4
察,cha5,ㄔㄚ5,ʈʂʰa5,U+5BDF
寡,gua3,ㄍㄨㄚ3,kuɑ3,U+5BE1
寢,cin3,ㄘㄧㄣ3,tsʰin3,U+5BE2
寥,liau2,ㄌㄧㄠ2,liɑʊ2,U+5BE5
實,shi5,ㄕㄭ5,ʂɨ5,U+5BE6
寧,njing2,ㄬㄧㄥ2,,U+5BE7
寨,zhai4,ㄓㄞ4,ʈʂaɪ4,U+5BE8
審,shen3,ㄕㄣ3,ʂən3,U+5BE9
寫,sie3,ㄙㄧㄝ3,siɛ3,U+5BEB
寬,kuan1,ㄎㄨㄢ1,kʰuan1,U+5BEC
寵,chung3,ㄔㄨㄥ3,ʈʂʰʊŋ3,U+5BF5
寶,bau3,ㄅㄠ3,pɑʊ3,U+5BF6
寸,cun4,ㄘㄨㄣ4,tsʰuən4,U+5BF8
射,she4,ㄕㄝ4,ʂɛ4,U+5C04
射,sheo4,ㄕㄜ4,ʂɤ4,U+5C04
射,shi5,ㄕㄭ5,ʂɨ5,U+5C04
將,ciang1,ㄘㄧㄤ1,,U+5C07
將,ziang1,ㄗㄧㄤ1,,U+5C07
將,ziang3,ㄗㄧㄤ3,,U+5C07
將,ziang4,ㄗㄧㄤ4,,U+5C07
專,zhuan1,ㄓㄨㄢ1,ʈʂuan1,U+5C08
尉,yu5,ㄩ5,y5,U+5C09
尊,zun1,ㄗㄨㄣ1,tsuən1,U+5C0A
尋,sin2,ㄙㄧㄣ2,sin2,U+5C0B
對,duei4,ㄉㄨㄟ4,tueɪ4,U+5C0D
小,siau3,ㄙㄧㄠ3,siɑʊ3,U+5C0F
少,shau3,ㄕㄠ3,ʂɑʊ3,U+5C11
少,shau4,ㄕㄠ4,ʂɑʊ4,U+5C11
尔,er3,ㄦ3,əɻ3,U+5C14
尖,zian1,ㄗㄧㄢ1,tsiɛn1,U+5C16
尚,shang,ㄕㄤ,ʂɑŋ,U+5C1A
尚,shang2,ㄕㄤ2,ʂɑŋ2,U+5C1A
尚,shang4,ㄕㄤ4,ʂɑŋ4,U+5C1A
就,zieu4,ㄗㄧㄡ4,tsiɔʊ4,U+5C31
尸,sh,ㄕ,ʂ,U+5C38
尸,shi1,ㄕㄭ1,ʂɨ1,U+5C38
尹,in3,ㄧㄣ3,in3,U+5C39
尺,chi5,ㄔㄭ5,ʈʂʰɨ5,U+5C3A
尼,nji2,ㄬㄧ2,ɲi2,U+5C3C
尾,vei3,ㄪㄟ3,ʋeɪ3,U+5C3E
尾,vi3,ㄪㄧ3,ʋi3,U+5C3E
尾,wei3,ㄨㄟ3,ueɪ3,U+5C3E
尿,njiau4,ㄬㄧㄠ4,ɲiɑʊ4,U+5C3F
局,jyu5,ㄐㄩ5,tɕy5,U+5C40
屁,pi4,ㄆㄧ4,pʰi4,U+5C41
居,ji1,ㄐㄧ1,tɕi1,U+5C45
居,jyu1,ㄐㄩ1,tɕy1,U+5C45
屆,jiai4,ㄐㄧㄞ4,,U+5C46
屈,jyue5,ㄐㄩㄝ5,tɕyɛ5,U+5C48
屈,qyu5,ㄑㄩ5,tɕʰy5,U+5C48
屋,wu5,ㄨ5,u5,U+5C4B
屍,shi1,ㄕㄭ1,ʂɨ1,U+5C4D
屎,shi3,ㄕㄭ3,ʂɨ3,U+5C4E
屏,bing3,ㄅㄧㄥ3,,U+5C4F
屏,ping2,ㄆㄧㄥ2,,U+5C4F
屑,sie5,ㄙㄧㄝ5,siɛ5,U+5C51
展,zhan3,ㄓㄢ3,ʈʂan3,U+5C55
属,shu5,ㄕㄨ5,ʂu5,U+5C5E
屠,tu2,ㄊㄨ2,tʰu2,U+5C60
屢,lyu3,ㄌㄩ3,ly3,U+5C62
層,ceng2,ㄘㄥ2,tsʰəŋ2,U+5C64
屬,shu5,ㄕㄨ5,ʂu5,U+5C6C
屬,zhu5,ㄓㄨ5,ʈʂu5,U+5C6C
屯,tun2,ㄊㄨㄣ2,tʰuən2,U+5C6F
屯,zhun1,ㄓㄨㄣ1,ʈʂuən1,U+5C6F
山,ren,ㄖㄣ,ʐən,U+5C71
山,shan1,ㄕㄢ1,ʂan1,U+5C71
岌,ji5,ㄐㄧ5,tɕi5,U+5C8C
岝,zeo5,ㄗㄜ5,tsɤ5,U+5C9D
岝,zuo5,ㄗㄨㄛ5,tsuɔ5,U+5C9D
岡,gang1,ㄍㄤ1,kɑŋ1,U+5CA1
岫,sieu4,ㄙㄧㄡ4,siɔʊ4,U+5CAB
岳,yo5,ㄧㄛ5,iɔ5,U+5CB3
岸,ngan4,ㄫㄢ4,ŋan4,U+5CB8
峨,ngo2,ㄫㄛ2,ŋɔ2,U+5CE8
島,dau3,ㄉㄠ3,tɑʊ3,U+5CF6
峻,zyun4,ㄗㄩㄣ4,,U+5CFB
崇,chung2,ㄔㄨㄥ2,ʈʂʰʊŋ2,U+5D07
崎,qi1,ㄑㄧ1,tɕʰi1,U+5D0E
崑,kun1,ㄎㄨㄣ1,kʰuən1,U+5D11
崔,cuei1,ㄘㄨㄟ1,tsʰueɪ1,U+5D14
崖,ya2,ㄧㄚ2,iɑ2,U+5D16
崙,lun2,ㄌㄨㄣ2,luən2,U+5D19
崩,beng1,ㄅㄥ1,pəŋ1,U+5D29
崵,dang4,ㄉㄤ4,tɑŋ4,U+5D35
崵,yang2,ㄧㄤ2,,U+5D35
嵁,chan4,ㄔㄢ4,ʈʂʰan4,U+5D41
嵁,kan1,ㄎㄢ1,kʰan1,U+5D41
嵋,mei2,ㄇㄟ2,meɪ2,U+5D4B
嵩,sung1,ㄙㄨㄥ1,sʊŋ1,U+5D69
嵯,co1,ㄘㄛ1,tsʰɔ1,U+5D6F
嵽,di4,ㄉㄧ4,ti4,U+5D7D
嵽,die5,ㄉㄧㄝ5,tiɛ5,U+5D7D
嶰,jiai4,ㄐㄧㄞ4,,U+5DB0
嶰,xiai3,ㄒㄧㄞ3,,U+5DB0
嶲,xi2,ㄒㄧ2,ɕi2,U+5DB2
嶺,ling3,ㄌㄧㄥ3,,U+5DBA
嶼,syu4,ㄙㄩ4,sy4,U+5DBC
嶽,yo5,ㄧㄛ5,iɔ5,U+5DBD
巔,dian1,ㄉㄧㄢ1,tiɛn1,U+5DD4
川,chuan1,ㄔㄨㄢ1,ʈʂʰuan1,U+5DDD
州,zheu1,ㄓㄡ1,ʈʂoʊ1,U+5DDE
巡,syun2,ㄙㄩㄣ2,,U+5DE1
巢,chau2,ㄔㄠ2,ʈʂʰɑʊ2,U+5DE2
工,gung1,ㄍㄨㄥ1,kʊŋ1,U+5DE5
左,zo3,ㄗㄛ3,tsɔ3,U+5DE6
巧,qiau3,ㄑㄧㄠ3,tɕʰiɑʊ3,U+5DE7
巨,jyu4,ㄐㄩ4,tɕy4,U+5DE8
差,cha1,ㄔㄚ1,ʈʂʰa1,U+5DEE
差,chai1,ㄔㄞ1,ʈʂʰaɪ1,U+5DEE
差,ci1,ㄘㄭ1,tsʰɨ1,U+5DEE
己,ji3,ㄐㄧ3,tɕi3,U+5DF1
已,yi3,ㄧ3,i3,U+5DF2
巳,si4,ㄙㄭ4,sɨ4,U+5DF3
巳,yi3,ㄧ3,i3,U+5DF3
巴,ba1,ㄅㄚ1,pa1,U+5DF4
巾,jin1,ㄐㄧㄣ1,tɕin1,U+5DFE
市,shi4,ㄕㄭ4,ʂɨ4,U+5E02
布,bu4,ㄅㄨ4,pu4,U+5E03
帆,fan1,ㄈㄢ1,fan1,U+5E06
帆,fan2,ㄈㄢ2,fan2,U+5E06
帆,fan4,ㄈㄢ4,fan4,U+5E06
希,x,ㄒ,ɕ,U+5E0C
希,xi1,ㄒㄧ1,ɕi1,U+5E0C
帑,nu2,ㄋㄨ2,nu2,U+5E11
帑,tang3,ㄊㄤ3,tʰɑŋ3,U+5E11
帖,tie5,ㄊㄧㄝ5,tʰiɛ5,U+5E16
帚,zheu3,ㄓㄡ3,ʈʂoʊ3,U+5E1A
帝,di4,ㄉㄧ4,ti4,U+5E1D
帥,shuai4,ㄕㄨㄞ4,ʂuaɪ4,U+5E25
師,shi1,ㄕㄭ1,ʂɨ1,U+5E2B
帮,bang1,ㄅㄤ1,pɑŋ1,U+5E2E
帳,zhang4,ㄓㄤ4,ʈʂɑŋ4,U+5E33
帶,dai4,ㄉㄞ4,taɪ4,U+5E36
帷,wei2,ㄨㄟ2,ueɪ2,U+5E37
常,chang2,ㄔㄤ2,ʈʂʰɑŋ2,U+5E38
帽,mau4,ㄇㄠ4,mɑʊ4,U+5E3D
幅,bi5,ㄅㄧ5,pi5,U+5E45
幅,fu5,ㄈㄨ5,fu5,U+5E45
幔,man4,ㄇㄢ4,man4,U+5E54
幗,guei4,ㄍㄨㄟ4,kueɪ4,U+5E57
幗,guo5,ㄍㄨㄛ5,kuɔ5,U+5E57
幫,bang1,ㄅㄤ1,pɑŋ1,U+5E6B
幭,mie5,ㄇㄧㄝ5,miɛ5,U+5E6D
幭,wa5,ㄨㄚ5,uɑ5,U+5E6D
干,gan1,ㄍㄢ1,kan1,U+5E72
平,i,ㄧ,i,U+5E73
平,ping2,ㄆㄧㄥ2,,U+5E73
年,nian2,ㄋㄧㄢ2,niɛn2,U+5E74
年,njian2,ㄬㄧㄢ2,ɲiɛn2,U+5E74
并,bing1,ㄅㄧㄥ1,,U+5E76
并,bing4,ㄅㄧㄥ4,,U+5E76
幸,xing4,ㄒㄧㄥ4,,U+5E78
幹,gan4,ㄍㄢ4,kan4,U+5E79
幻,huan4,ㄏㄨㄢ4,xuan4,U+5E7B
幼,yeu4,ㄧㄡ4,iɔʊ4,U+5E7C
幽,y,ㄧ,i,U+5E7D
幽,yeu1,ㄧㄡ1,iɔʊ1,U+5E7D
幾,ji1,ㄐㄧ1,tɕi1,U+5E7E
幾,ji3,ㄐㄧ3,tɕi3,U+5E7E
幾,qi2,ㄑㄧ2,tɕʰi2,U+5E7E
床,chuang2,ㄔㄨㄤ2,,U+5E8A
序,syu4,ㄙㄩ4,sy4,U+5E8F
底,di3,ㄉㄧ3,ti3,U+5E95
店,dian4,ㄉㄧㄢ4,tiɛn4,U+5E97
庚,geng1,ㄍㄥ1,kəŋ1,U+5E9A
庚,rang,ㄖㄤ,ʐɑŋ,U+5E9A
府,fu3,ㄈㄨ3,fu3,U+5E9C
度,do5,ㄉㄛ5,tɔ5,U+5EA6
度,du4,ㄉㄨ4,tu4,U+5EA6
座,zuo4,ㄗㄨㄛ4,tsuɔ4,U+5EA7
庫,ku4,ㄎㄨ4,kʰu4,U+5EAB
庭,ting2,ㄊㄧㄥ2,,U+5EAD
庵,an1,ㄢ1,an1,U+5EB5
庶,shu4,ㄕㄨ4,ʂu4,U+5EB6
康,kang1,ㄎㄤ1,kʰɑŋ1,U+5EB7
廁,ceo5,ㄘㄜ5,tsʰɤ5,U+5EC1
廂,siang1,ㄙㄧㄤ1,,U+5EC2
廆,huei4,ㄏㄨㄟ4,xueɪ4,U+5EC6
廆,wei2,ㄨㄟ2,ueɪ2,U+5EC6
廈,xia4,ㄒㄧㄚ4,ɕiɑ4,U+5EC8
廉,lian2,ㄌㄧㄢ2,liɛn2,U+5EC9
廊,lang2,ㄌㄤ2,lɑŋ2,U+5ECA
