character,laoguoyin,zhuyin,ipa,codepoint
倮,hua3,ㄏㄨㄚ3,xuɑ3,U+502E
倮,luo3,ㄌㄨㄛ3,luɔ3,U+502E
倰,leng2,ㄌㄥ2,ləŋ2,U+5030
倰,ling2,ㄌㄧㄥ2,,U+5030
假,jia3,ㄐㄧㄚ3,tɕiɑ3,U+5047
假,jia4,ㄐㄧㄚ4,tɕiɑ4,U+5047
偉,wei3,ㄨㄟ3,ueɪ3,U+5049
偋,bing3,ㄅㄧㄥ3,,U+504B
偋,ping2,ㄆㄧㄥ2,,U+504B
偏,pian1,ㄆㄧㄢ1,pʰiɛn1,U+504F
做,zo4,ㄗㄛ4,tsɔ4,U+505A
停,ting2,ㄊㄧㄥ2,,U+505C
偪,bi5,ㄅㄧ5,pi5,U+506A
偪,fu5,ㄈㄨ5,fu5,U+506A
偲,cai1,ㄘㄞ1,tsʰaɪ1,U+5072
偲,si1,ㄙㄭ1,sɨ1,U+5072
側,zeo5,ㄗㄜ5,tsɤ5,U+5074
偶,ngeu3,ㄫㄡ3,ŋoʊ3,U+5076
偷,teu1,ㄊㄡ1,tʰoʊ1,U+5077
偺,za2,ㄗㄚ2,tsa2,U+507A
偽,wei4,ㄨㄟ4,ueɪ4,U+507D
傀,guei1,ㄍㄨㄟ1,kueɪ1,U+5080
傀,kuei3,ㄎㄨㄟ3,kʰueɪ3,U+5080
傋,geu1,ㄍㄡ1,koʊ1,U+508B
傋,jiang3,ㄐㄧㄤ3,,U+508B
傍,bang4,ㄅㄤ4,pɑŋ4,U+508D
傍,pang2,ㄆㄤ2,pʰɑŋ2,U+508D
傑,jie5,ㄐㄧㄝ5,tɕiɛ5,U+5091
傖,cang1,ㄘㄤ1,tsʰɑŋ1,U+5096
傖,zheng2,ㄓㄥ2,ʈʂəŋ2,U+5096
傘,san3,ㄙㄢ3,san3,U+5098
傚,xiau4,ㄒㄧㄠ4,ɕiɑʊ4,U+509A
催,cuei1,ㄘㄨㄟ1,tsʰueɪ1,U+50AC
