source_title,relation,target,template
㐡,zh-see,懦,zh-see
㑘,zh-see,价,zh-see
㑢,alt,却,zh-forms
㑢,alt,𠳞,zh-forms
㑢,alt,屐,zh-forms
㑢,zh-see,𠊬,zh-see
㑤,zh-see,媌,zh-see
㑴,zh-see,侵,zh-see
㑽,zh-see,傏,zh-see
㒖,zh-see,藕,zh-see
㒵,zh-see,貌,zh-see
㓝,zh-see,刑,zh-see
㔺,zh-see,世,zh-see
㕉,alt,𢈈,zh-forms
㕤,zh-see,叴,zh-see
㖒,zh-see,啼,zh-see
㖒,zh-see,嚏,zh-see
㖸,zh-see,噱,zh-see
㗶,s,𭇜,zh-forms
㘅,zh-see,銜,zh-see
㘧,zh-see,序,zh-see
㘩,zh-see,坒,zh-see
㘪,zh-see,耗,zh-see
㙒,zh-see,野,zh-see
㙼,zh-see,壘,zh-see
㚮,zh-see,媅,zh-see
㚳,zh-see,妿,zh-see
㛰,zh-see,婚,zh-see
㛲,zh-see,髮,zh-see
㜍,alt,𡠠,zh-forms
㜜,zh-see,傲,zh-see
㜪,alt,𡣎,zh-forms
㝇,zh-see,鶉,zh-see
㝱,alt,𡪎,zh-forms
㝱,alt,𥦡,zh-forms
㝱,zh-see,夢,zh-see
㝴,zh-see,刓,zh-see
㞘,alt,䐁,zh-forms
㞘,alt,篤,zh-forms
㞘,zh-see,𡱂,zh-see
㞙,zh-see,尿,zh-see
㞹,zh-see,岢,zh-see
㟜,zh-see,𡾱,zh-see
㟦,zh-see,𡽅,zh-see
㠀,zh-see,島,zh-see
㠁,zh-see,嵾,zh-see
㠪,zh-see,巨,zh-see
㠪,zh-see,工,zh-see
㠻,zh-see,希,zh-see
㢆,zh-see,廛,zh-see
㢡,zh-see,獎,zh-see
㢧,zh-see,卷,zh-see
㢼,zh-see,彆,zh-see
㢽,zh-see,餌,zh-see
㣘,zh-see,跔,zh-see
㣦,zh-see,逶,zh-see
㣼,zh-see,忍,zh-see
㣼,zh-see,𠚬,zh-see
㤐,zh-see,怗,zh-see
㤐,zh-see,惉,zh-see
㥫,zh-see,惇,zh-see
㥿,zh-see,慠,zh-see
㦖,s,𫺓,zh-forms
㦖,zh-see,懣,zh-see
㦞,s,𪫷,zh-forms
㦞,zh-see,懤,zh-see
㦾,zh-see,扅,zh-see
㨀,zh-see,抦,zh-see
㫔,zh-see,艮,zh-see
㭻,zh-see,棠,zh-see
㫕,zh-see,光,zh-see
㫩,zh-see,春,zh-see
㬙,zh-see,暐,zh-see
㭓,zh-see,閞,zh-see
㭓,zh-see,拚,zh-see
㭓,zh-see,抃,zh-see
㮡,zh-see,爟,zh-see
㮳,zh-see,栚,zh-see
㮴,zh-see,艘,zh-see
㯣,zh-see,棻,zh-see
㯦,zh-see,棋,zh-see
㰆,zh-see,韛,zh-see
㰙,s,𣗙,zh-forms
㱜,zh-see,𣧖,zh-see
㳂,zh-see,沿,zh-see
㶵,zh-see,飪,zh-see
㷀,zh-see,煢,zh-see
㷻,s,𭴊,zh-forms
㺫,zh-see,玌,zh-see
㺳,zh-see,玫,zh-see
㸂,zh-see,燧,zh-see
㽮,zh-see,星,zh-see
㾌,zh-see,癬,zh-see
䂥,zh-see,珉,zh-see
䃩,zh-see,硇,zh-see
䄢,zh-see,齋,zh-see
䆥,zh-see,穿,zh-see
䆥,zh-see,寂,zh-see
䆫,zh-see,窗,zh-see
䈄,zh-see,筨,zh-see
䉲,s,𥮜,zh-forms
䊀,zh-see,糊,zh-see
䊵,s,𮉠,zh-forms
䋎,s,𬘜,zh-forms
䋎,alt,紩,zh-forms
䋎,alt,𦃘,zh-forms
䋎,alt,綻,zh-forms
㼆,s,𬎆,zh-forms
䍧,zh-see,牂,zh-see
䑐,zh-see,𥅘,zh-see
䓗,zh-see,蔥,zh-see
䕖,zh-see,蓀,zh-see
䕤,s,𫟕,zh-forms
䙰,t2,褵,zh-forms
䙰,s,褵,zh-forms
䙲,zh-see,遷,zh-see
䚀,zh-see,𧡬,zh-see
䒿,zh-see,膋,zh-see
䚰,zh-see,䚹,zh-see
䚰,zh-see,訛,zh-see
䛐,zh-see,詞,zh-see
䝺,zh-see,貫,zh-see
䞬,zh-see,透,zh-see
䡥,zh-see,䡆,zh-see
䡼,zh-see,軨,zh-see
䡿,zh-see,軨,zh-see
䢜,zh-see,歸,zh-see
䢩,zh-see,敔,zh-see
䢵,zh-see,鄖,zh-see
䣑,zh-see,廛,zh-see
䣨,zh-see,醇,zh-see
䥊,zh-see,錆,zh-see
䥕,s,𬭯,zh-forms
䥴,zh-see,鐫,zh-see
䦦,zh-see,琴,zh-see
䧻,zh-see,鴿,zh-see
䨭,zh-see,霄,zh-see
䩜,zh-see,冑,zh-see
䪘,zh-see,韙,zh-see
䪩,zh-see,吟,zh-see
䬖,zh-see,䬝,zh-see
䬗,zh-see,颺,zh-see
䬙,zh-see,颻,zh-see
䬜,zh-see,魑,zh-see
䭌,zh-see,糊,zh-see
䭯,zh-see,馞,zh-see
䭽,zh-see,群,zh-see
䮇,zh-see,驈,zh-see
䮈,zh-see,馳,zh-see
䮛,zh-see,駙,zh-see
䮯,zh-see,驁,zh-see
䮲,zh-see,騜,zh-see
䮶,zh-see,驫,zh-see
䮽,zh-see,鑣,zh-see
䯝,zh-see,髓,zh-see
䯯,zh-see,髿,zh-see
䰖,alt,𩯳,zh-forms
䰖,alt,𩯒,zh-forms
䰖,alt,𨳄,zh-forms
䰞,zh-see,煮,zh-see
䱉,zh-see,鱔,zh-see
䱔,zh-see,鰷,zh-see
䱔,zh-see,鯈,zh-see
䱔,zh-see,鮋,zh-see
䱙,s,𩾈,zh-forms
䱙,zh-see,鮛,zh-see
䱳,zh-see,鱣,zh-see
䱹,s,𬶣,zh-forms
䱹,zh-see,鮓,zh-see
䲍,zh-see,鰧,zh-see
䲴,zh-see,鴆,zh-see
䳈,zh-see,鴇,zh-see
丄,zh-see,上,zh-see
丄,zh-see,浪,zh-see
丅,zh-see,下,zh-see
丟,s,丢,zh-forms
丟,t2,丢,zh-forms
両,zh-see,兩,zh-see
並,s,并,zh-forms
並,alt,傡,zh-forms
並,alt,竝,zh-forms
並,alt,𡘋,zh-forms
並,alt,𠀤,zh-forms
丬,zh-see,爿,zh-see
乆,zh-see,久,zh-see
乕,zh-see,虎,zh-see
乗,zh-see,乘,zh-see
亀,zh-see,龜,zh-see
亊,zh-see,事,zh-see
亐,zh-see,于,zh-see
亖,s,四,zh-forms
亖,zh-see,四,zh-see
亗,zh-see,歲,zh-see
亜,zh-see,亞,zh-see
亰,zh-see,京,zh-see
亰,zh-see,原,zh-see
亱,zh-see,夜,zh-see
亽,zh-see,亼,zh-see
亾,zh-see,亡,zh-see
仃,zh-see,酊,zh-see
仃,zh-see,停,zh-see
仉,alt,𠆰,zh-forms
仌,zh-see,冰,zh-see
仏,zh-see,佛,zh-see
仏,zh-see,似,zh-see
仚,zh-see,仙,zh-see
仦,zh-see,仯,zh-see
仦,zh-see,矮,zh-see
仭,zh-see,仞,zh-see
仮,zh-see,反,zh-see
仮,Han simp:1,假,Han simp
仮,zh-see,假,zh-see
仺,zh-see,倉,zh-see
仾,zh-see,低,zh-see
仾,alt,夆,zh-forms
伂,zh-see,沛,zh-see
伖,zh-see,帑,zh-see
伜,zh-see,倅,zh-see
伨,zh-see,徇,zh-see
伨,zh-see,侚,zh-see
伨,alt,媵,zh-forms
伨,alt,挺,zh-forms
伵,zh-see,侐,zh-see
佈,s,布,zh-forms
佈,t2,布,zh-forms
䳢,s,𫛰,zh-forms
䳢,alt,鶀,zh-forms
䳧,s,𫛺,zh-forms
䳰,zh-see,鴇,zh-see
䴥,zh-see,麚,zh-see
䴫,zh-see,羚,zh-see
佱,zh-see,法,zh-see
佲,zh-see,酩,zh-see
佲,zh-see,姳,zh-see
侌,zh-see,陰,zh-see
価,zh-see,價,zh-see
価,zh-see,似,zh-see
価,zh-see,濟,zh-see
侢,zh-see,戴,zh-see
侭,zh-see,儘,zh-see
侶,s,侣,zh-forms
侷,zh-see,局,zh-see
侽,zh-see,男,zh-see
俁,s,俣,zh-forms
俁,alt,㒁,zh-forms
俌,zh-see,輔,zh-see
俢,zh-see,修,zh-see
俼,zh-see,鬻,zh-see
倈,s,俫,zh-forms
倈,s,俫,zh-forms
倈,alt,孻,zh-forms
倈,alt,賴,zh-forms
倈,alt,徠,zh-forms
倈,alt,乃,zh-forms
倈,zh-see,來,zh-see
倈,zh-see,徠,zh-see
倎,zh-see,腆,zh-see
倣,zh-see,仿,zh-see
倶,zh-see,俱,zh-see
倶,zh-see,具,zh-see
倸,zh-see,睬,zh-see
倹,zh-see,儉,zh-see
偀,zh-see,英,zh-see
偆,alt,𠎲,zh-forms
偘,zh-see,侃,zh-see
偸,zh-see,偷,zh-see
偺,zh-see,咱,zh-see
偼,zh-see,倢,zh-see
傓,zh-see,煽,zh-see
傟,zh-see,慃,zh-see
傠,zh-see,伐,zh-see
傢,s,家,zh-forms
傢,zh-see,像,zh-see
傤,Han simp:1,儎,Han simp
傤,zh-see,儎,zh-see
傯,s,偬,zh-forms
傯,t2,偬,zh-forms
働,t2,動,zh-forms
働,s,动,zh-forms
僘,zh-see,敞,zh-see
僡,zh-see,惠,zh-see
僫,zh-see,惡,zh-see
僱,s,雇,zh-forms
僱,t2,雇,zh-forms
僲,zh-see,仙,zh-see
僴,zh-see,僩,zh-see
儍,zh-see,傻,zh-see
儞,zh-see,你,zh-see
儨,zh-see,質,zh-see
儫,zh-see,豪,zh-see
兂,zh-see,簪,zh-see
兊,zh-see,兌,zh-see
兎,zh-see,兔,zh-see
児,zh-see,兒,zh-see
兘,zh-see,始,zh-see
兠,zh-see,兜,zh-see
兤,zh-see,爌,zh-see
兲,zh-see,天,zh-see
冊,s,册,zh-forms
冊,alt,𠕁,zh-forms
冊,alt,𠕋,zh-forms
冊,t2,册,zh-forms
冎,zh-see,剮,zh-see
冐,zh-see,冒,zh-see
冐,zh-see,冑,zh-see
冐,zh-see,胄,zh-see
冝,zh-see,宜,zh-see
冣,zh-see,聚,zh-see
冣,zh-see,最,zh-see
冣,zh-see,驟,zh-see
冦,zh-see,寇,zh-see
冨,zh-see,富,zh-see
冩,zh-see,寫,zh-see
冪,s,幂,zh-forms
冴,zh-see,冱,zh-see
冺,zh-see,泯,zh-see
冾,zh-see,洽,zh-see
凃,alt,𪞡,zh-forms
凈,zh-see,淨,zh-see
凈,s,净,zh-forms
凈,t2,净,zh-forms
凜,s,凛,zh-forms
凟,zh-see,瀆,zh-see
凢,zh-see,凡,zh-see
凣,zh-see,凡,zh-see
凥,zh-see,居,zh-see
処,zh-see,處,zh-see
凨,zh-see,風,zh-see
凬,zh-see,風,zh-see
凮,zh-see,風,zh-see
凲,zh-see,尲,zh-see
凴,zh-see,憑,zh-see
兾,zh-see,冀,zh-see
兿,zh-see,藝,zh-see
凾,zh-see,函,zh-see
刄,zh-see,刃,zh-see
刄,zh-see,兩,zh-see
刪,t2,删,zh-forms
刪,s,删,zh-forms
刴,zh-see,剁,zh-see
刼,zh-see,劫,zh-see
刾,Han simp:1,㓨,Han simp
刾,zh-see,㓨,zh-see
剎,s,刹,zh-forms
剎,alt,刹,zh-forms
剎,alt,𠜽,zh-forms
剏,zh-see,創,zh-see
剣,zh-see,劍,zh-see
剤,Han simp:1,劑,Han simp
剤,zh-see,劑,zh-see
剦,zh-see,閹,zh-see
剰,zh-see,剩,zh-see
剱,zh-see,劍,zh-see
劆,zh-see,鐮,zh-see
劎,zh-see,劍,zh-see
劒,zh-see,劍,zh-see
劔,zh-see,劍,zh-see
劮,zh-see,逸,zh-see
労,zh-see,勞,zh-see
劵,zh-see,倦,zh-see
劵,zh-see,券,zh-see
効,zh-see,效,zh-see
勀,zh-see,剋,zh-see
勄,zh-see,敏,zh-see
勅,zh-see,敕,zh-see
勈,zh-see,勇,zh-see
勊,zh-see,剋,zh-see
勎,zh-see,勠,zh-see
勗,zh-see,勖,zh-see
勣,s,𪟝,zh-forms
勲,zh-see,勛,zh-see
勹,zh-see,包,zh-see
匞,zh-see,匠,zh-see
匟,zh-see,炕,zh-see
匢,alt,匫,zh-forms
卂,zh-see,迅,zh-see
卄,zh-see,廿,zh-see
卆,zh-see,卒,zh-see
卋,zh-see,世,zh-see
単,zh-see,單,zh-see
卛,zh-see,率,zh-see
卥,zh-see,西,zh-see
卨,s,𫧯,zh-forms
卪,zh-see,節,zh-see
厐,Han simp:1,龎,Han simp
厐,zh-see,龎,zh-see
厛,zh-see,廳,zh-see
厡,zh-see,原,zh-see
厡,zh-see,源,zh-see
厫,zh-see,廒,zh-see
厯,zh-see,歷,zh-see
厳,zh-see,嚴,zh-see
厵,zh-see,原,zh-see
厵,zh-see,源,zh-see
厺,zh-see,去,zh-see
叄,zh-see,參,zh-see
叄,zh-see,三,zh-see
叅,zh-see,參,zh-see
叅,zh-see,累,zh-see
叧,zh-see,剮,zh-see
叧,zh-see,另,zh-see
吀,zh-see,羋,zh-see
吢,zh-see,唚,zh-see
吶,s,呐,zh-forms
吶,zh-see,哪,zh-see
吶,zh-see,呢,zh-see
呉,zh-see,吳,zh-see
呌,zh-see,叫,zh-see
呩,zh-see,嗜,zh-see
咊,zh-see,和,zh-see
咲,zh-see,笑,zh-see
哣,zh-see,咅,zh-see
哻,zh-see,鼾,zh-see
唀,zh-see,誘,zh-see
唃,zh-see,唂,zh-see
唕,zh-see,唣,zh-see
唖,Han simp:1,啞,Han simp
唖,zh-see,啞,zh-see
唘,zh-see,啟,zh-see
唙,zh-see,嘀,zh-see
唚,s,吣,zh-forms
唚,t2,吣,zh-forms
唚,alt,吢,zh-forms
唚,alt,斟,zh-forms
唚,alt,啿,zh-forms
唚,alt,親,zh-forms
唚,alt,吻,zh-forms
唚,alt,鐘,zh-forms
唚,alt,烝,zh-forms
唚,zh-see,譖,zh-see
啟,s,启,zh-forms
啟,t2,啓,zh-forms
啟,alt,唘,zh-forms
啟,alt,啔,zh-forms
啠,zh-see,哲,zh-see
啣,zh-see,銜,zh-see
啿,zh-see,啖,zh-see
喎,s,㖞,zh-forms
喎,s,㖞,zh-forms
喎,s,㖞,zh-forms
喎,zh-see,啝,zh-see
営,zh-see,營,zh-see
嗈,zh-see,噰,zh-see
嗶,s,哔,zh-forms
嘠,zh-see,嘎,zh-see
嘨,zh-see,嘯,zh-see
噄,zh-see,喫,zh-see
噉,zh-see,啖,zh-see
噉,alt,咁,zh-forms
噐,zh-see,器,zh-see
噑,zh-see,嗥,zh-see
噒,alt,㖮,zh-forms
噕,zh-see,噅,zh-see
噖,zh-see,吟,zh-see
噟,zh-see,應,zh-see
噵,zh-see,道,zh-see
噽,zh-see,嚭,zh-see
噾,zh-see,喑,zh-see
嚈,s,𫩫,zh-forms
嚈,zh-see,咽,zh-see
嚐,zh-see,嘗,zh-see
嚖,alt,嘒,zh-forms
嚞,zh-see,哲,zh-see
嚢,zh-see,囊,zh-see
嚽,zh-see,啜,zh-see
嚽,s,𪢕,zh-forms
囇,zh-see,㘑,zh-see
囇,zh-see,儷,zh-see
囏,zh-see,艱,zh-see
囒,s,𪢠,zh-forms
囘,zh-see,回,zh-see
囙,zh-see,因,zh-see
団,zh-see,團,zh-see
囯,zh-see,國,zh-see
図,zh-see,圖,zh-see
囶,zh-see,國,zh-see
囸,zh-see,日,zh-see
囻,zh-see,國,zh-see
囼,zh-see,胎,zh-see
圎,zh-see,圓,zh-see
圏,zh-see,圈,zh-see
圗,zh-see,圖,zh-see
圝,zh-see,圞,zh-see
圡,zh-see,土,zh-see
圧,zh-see,壓,zh-see
圲,zh-see,圱,zh-see
圼,zh-see,涅,zh-see
圽,zh-see,歿,zh-see
坃,zh-see,塤,zh-see
坓,zh-see,阱,zh-see
坓,zh-see,型,zh-see
坕,zh-see,經,zh-see
坖,zh-see,忌,zh-see
坘,zh-see,坻,zh-see
坣,zh-see,堂,zh-see
坣,zh-see,鏜,zh-see
坣,zh-see,嘡,zh-see
坣,zh-see,膛,zh-see
坣,zh-see,壆,zh-see
坭,zh-see,泥,zh-see
坮,alt,埋,zh-forms
坮,alt,抬,zh-forms
坮,alt,臺,zh-forms
坮,zh-see,臺,zh-see
坵,s,丘,zh-forms
坵,zh-see,坻,zh-see
坸,zh-see,垢,zh-see
垅,zh-see,壠,zh-see
垇,zh-see,坳,zh-see
垜,zh-see,垛,zh-see
垨,zh-see,守,zh-see
垨,zh-see,坾,zh-see
垴,zh-see,堖,zh-see
垵,zh-see,埯,zh-see
垼,zh-see,坄,zh-see
埀,zh-see,垂,zh-see
埊,zh-see,地,zh-see
埓,zh-see,埒,zh-see
埞,alt,碇,zh-forms
埞,alt,定,zh-forms
埞,zh-see,堤,zh-see
堘,zh-see,塍,zh-see
堝,s,埚,zh-forms
堷,zh-see,窨,zh-see
堺,zh-see,界,zh-see
塁,zh-see,壘,zh-see
塐,zh-see,塑,zh-see
塚,s,冢,zh-forms
塚,t2,冢,zh-forms
塚,alt,塜,zh-forms
塟,zh-see,葬,zh-see
塤,s,埙,zh-forms
塤,alt,坃,zh-forms
塤,alt,𡎖,zh-forms
塤,alt,壎,zh-forms
塩,zh-see,鹽,zh-see
塱,alt,㙟,zh-forms
墂,zh-see,標,zh-see
墖,zh-see,塔,zh-see
増,zh-see,增,zh-see
墣,alt,圤,zh-forms
墪,zh-see,墩,zh-see
墬,zh-see,地,zh-see
墯,zh-see,墮,zh-see
墯,zh-see,隳,zh-see
墰,zh-see,罈,zh-see
墵,zh-see,罈,zh-see
壃,zh-see,疆,zh-see
壌,zh-see,壤,zh-see
壥,zh-see,廛,zh-see
壧,s,𫭲,zh-forms
壱,zh-see,壹,zh-see
売,zh-see,賣,zh-see
壺,s,壶,zh-forms
壺,alt,壷,zh-forms
壺,alt,𠻭,zh-forms
壺,alt,𡔥,zh-forms
壺,alt,𡔦,zh-forms
壺,alt,𡐎,zh-forms
壺,alt,𢑹,zh-forms
壺,alt,𥁖,zh-forms
壺,alt,𡔳,zh-forms
壺,alt,𡔲,zh-forms
夀,zh-see,壽,zh-see
夁,zh-see,壹,zh-see
夅,zh-see,降,zh-see
変,zh-see,變,zh-see
夑,zh-see,燮,zh-see
夓,zh-see,夏,zh-see
夛,zh-see,多,zh-see
夠,s,够,zh-forms
夠,t2,够,zh-forms
夠,alt,彀,zh-forms
夠,alt,勾,zh-forms
夠,s,够,zh-forms
夠,t2,够,zh-forms
夣,zh-see,夢,zh-see
夳,zh-see,泰,zh-see
夶,zh-see,比,zh-see
奌,zh-see,點,zh-see
奨,zh-see,獎,zh-see
妅,zh-see,娂,zh-see
妛,zh-see,媸,zh-see
妫,zh-see,媯,zh-see
妬,zh-see,妒,zh-see
姢,zh-see,娟,zh-see
姸,zh-see,妍,zh-see
娚,zh-see,嫐,zh-see
娚,zh-see,喃,zh-see
娚,zh-see,甥,zh-see
娯,zh-see,娛,zh-see
娰,zh-see,姒,zh-see
婀,alt,妸,zh-forms
婀,alt,娿,zh-forms
婔,zh-see,婓,zh-see
婙,zh-see,婧,zh-see
婣,zh-see,姻,zh-see
媎,zh-see,姐,zh-see
媫,zh-see,婕,zh-see
媯,s,妫,zh-forms
媯,t2,嬀,zh-forms
嫓,zh-see,媲,zh-see
嫟,zh-see,暱,zh-see
嫰,zh-see,嫩,zh-see
嫵,s,妩,zh-forms
嫵,alt,娬,zh-forms
嫻,s,娴,zh-forms
嫻,alt,嫺,zh-forms
嫻,alt,𡢃,zh-forms
嬍,zh-see,美,zh-see
嬤,s,嬷,zh-forms
孆,zh-see,嬰,zh-see
孞,zh-see,信,zh-see
孠,zh-see,嗣,zh-see
孯,zh-see,掔,zh-see
孶,zh-see,孳,zh-see
孾,zh-see,嬰,zh-see
宆,zh-see,穹,zh-see
宍,zh-see,肉,zh-see
宐,zh-see,宜,zh-see
宖,zh-see,宏,zh-see
実,zh-see,實,zh-see
宩,zh-see,屎,zh-see
宷,zh-see,審,zh-see
宻,zh-see,密,zh-see
孹,zh-see,擘,zh-see
宼,zh-see,寇,zh-see
寃,zh-see,冤,zh-see
寈,zh-see,青,zh-see
寍,zh-see,寧,zh-see
寑,zh-see,寝,zh-see
寕,zh-see,寧,zh-see
寚,zh-see,寶,zh-see
寛,Han simp:1,寬,Han simp
寛,zh-see,寬,zh-see
寜,zh-see,寧,zh-see
寯,alt,㝦,zh-forms
寳,zh-see,寶,zh-see
対,zh-see,對,zh-see
尀,zh-see,叵,zh-see
専,zh-see,專,zh-see
尒,zh-see,爾,zh-see
尛,zh-see,麼,zh-see
尞,zh-see,僚,zh-see
尣,zh-see,尢,zh-see
尫,zh-see,尪,zh-see
尭,zh-see,堯,zh-see
尶,zh-see,尷,zh-see
屍,s,尸,zh-forms
屍,t2,尸,zh-forms
屍,s,尸,zh-forms
屍,t2,尸,zh-forms
屜,s,屉,zh-forms
屜,t2,屉,zh-forms
屜,alt,屟,zh-forms
屫,zh-see,屩,zh-see
屳,zh-see,仙,zh-see
屶,zh-see,會,zh-see
岀,zh-see,出,zh-see
岅,zh-see,阪,zh-see
岹,zh-see,岧,zh-see
岺,zh-see,岭,zh-see
峝,zh-see,峒,zh-see
峢,zh-see,峛,zh-see
峩,zh-see,峨,zh-see
峵,zh-see,嶸,zh-see
崄,zh-see,嶮,zh-see
崈,zh-see,崇,zh-see
崑,s,昆,zh-forms
崑,t2,昆,zh-forms
崑,alt,崐,zh-forms
崕,zh-see,崖,zh-see
崙,s,仑,zh-forms
崙,t2,侖,zh-forms
崙,alt,崘,zh-forms
崯,zh-see,崟,zh-see
崻,zh-see,峙,zh-see
嵗,zh-see,歲,zh-see
嵨,zh-see,塢,zh-see
嶄,s,崭,zh-forms
嶄,alt,嶃,zh-forms
嶄,zh-see,㜺,zh-see
嶌,zh-see,島,zh-see
嶚,zh-see,嶛,zh-see
嶤,zh-see,嶢,zh-see
嶩,zh-see,峱,zh-see
嶫,zh-see,嶪,zh-see
嶲,alt,巂,zh-forms
嶲,alt,雟,zh-forms
嶲,alt,巂,zh-forms
嶲,alt,雟,zh-forms
嶴,s,岙,zh-forms
嶴,t2,岙,zh-forms
巄,zh-see,巃,zh-see
巌,zh-see,巖,zh-see
巚,zh-see,巘,zh-see
巣,zh-see,巢,zh-see
巶,zh-see,昭,zh-see
巹,t2,卺,zh-forms
巹,s,卺,zh-forms
巺,zh-see,巽,zh-see
巻,zh-see,卷,zh-see
帇,zh-see,𦘒,zh-see
帒,zh-see,袋,zh-see
帯,zh-see,帶,zh-see
帰,Han simp:1,歸,Han simp
帰,zh-see,歸,zh-see
幈,zh-see,屏,zh-see
幒,alt,𢃧,zh-forms
幚,zh-see,幫,zh-see
広,zh-see,廣,zh-see
庅,zh-see,麼,zh-see
庅,zh-see,磨,zh-see
庒,zh-see,莊,zh-see
庺,zh-see,松,zh-see
庻,zh-see,庶,zh-see
庽,zh-see,寓,zh-see
庿,zh-see,廟,zh-see
廃,zh-see,廢,zh-see
廄,s,厩,zh-forms
廄,t2,廐,zh-forms
廄,t3,厩,zh-forms
廄,alt,𢋁,zh-forms
廄,alt,廏,zh-forms
廄,alt,𠤙,zh-forms
廐,zh-see,廄,zh-see
廕,s,荫,zh-forms
廰,zh-see,廳,zh-see
廵,zh-see,巡,zh-see
廸,zh-see,迪,zh-see
廹,zh-see,迫,zh-see
廻,zh-see,迴,zh-see
廽,zh-see,迴,zh-see
弉,zh-see,奘,zh-see
弌,zh-see,一,zh-see
弐,zh-see,貳,zh-see
弒,s,弑,zh-forms
弻,zh-see,弼,zh-see
弾,zh-see,彈,zh-see
彂,zh-see,發,zh-see
彚,zh-see,彙,zh-see
彛,zh-see,彞,zh-see
彜,zh-see,彞,zh-see
彞,zh-see,彝,zh-see
彟,zh-see,彠,zh-see
彨,zh-see,彲,zh-see
徃,zh-see,往,zh-see
徏,zh-see,陟,zh-see
従,Han simp:1,從,Han simp
従,zh-see,從,zh-see
徔,zh-see,從,zh-see
徣,zh-see,借,zh-see
徤,zh-see,健,zh-see
徫,zh-see,偉,zh-see
徰,zh-see,征,zh-see
徳,zh-see,德,zh-see
徴,zh-see,徵,zh-see
徺,zh-see,僥,zh-see
忁,zh-see,儤,zh-see
忈,zh-see,仁,zh-see
忎,zh-see,仁,zh-see
応,zh-see,應,zh-see
忩,zh-see,匆,zh-see
忰,zh-see,悴,zh-see
忷,zh-see,恟,zh-see
怣,zh-see,尤,zh-see
怣,zh-see,戇,zh-see
怱,s,匆,zh-forms
恖,zh-see,思,zh-see
恠,zh-see,怪,zh-see
恱,zh-see,悅,zh-see
恴,zh-see,德,zh-see
恵,zh-see,惠,zh-see
悪,Han simp:1,惡,Han simp
悪,zh-see,惡,zh-see
戦,zh-see,戰,zh-see
恷,zh-see,恘,zh-see
恿,alt,慂,zh-forms
恿,alt,惥,zh-forms
恿,zh-see,倖,zh-see
悏,s,𫺂,zh-forms
悓,zh-see,俔,zh-see
悩,zh-see,惱,zh-see
悮,zh-see,誤,zh-see
悳,zh-see,德,zh-see
惒,zh-see,和,zh-see
惥,zh-see,恿,zh-see
惪,zh-see,德,zh-see
愂,zh-see,悖,zh-see
愇,s,𫹴,zh-forms
愑,zh-see,悀,zh-see
愜,s,惬,zh-forms
愜,alt,㥦,zh-forms
愳,zh-see,懼,zh-see
愶,alt,恊,zh-forms
愽,zh-see,博,zh-see
慍,s,愠,zh-forms
慍,t2,愠,zh-forms
惷,alt,𢡳,zh-forms
慿,zh-see,憑,zh-see
憇,zh-see,憩,zh-see
憜,zh-see,惰,zh-see
憥,alt,憦,zh-forms
憰,zh-see,譎,zh-see
憻,zh-see,坦,zh-see
懐,zh-see,懷,zh-see
懓,zh-see,僾,zh-see
懙,s,𫹮,zh-forms
懧,zh-see,懦,zh-see
懯,zh-see,怤,zh-see
懴,zh-see,懺,zh-see
戅,zh-see,戇,zh-see
戞,zh-see,戛,zh-see
戯,zh-see,戲,zh-see
戱,zh-see,戲,zh-see
扗,zh-see,在,zh-see
扥,zh-see,扽,zh-see
扵,zh-see,於,zh-see
抙,zh-see,捊,zh-see
抙,zh-see,抔,zh-see
抝,zh-see,拗,zh-see
抦,zh-see,秉,zh-see
抦,alt,炳,zh-forms
抦,alt,丙,zh-forms
抸,zh-see,挾,zh-see
拝,zh-see,拜,zh-see
拞,zh-see,抵,zh-see
拠,zh-see,據,zh-see
拡,zh-see,擴,zh-see
拻,zh-see,豗,zh-see
挊,zh-see,弄,zh-see
挙,zh-see,擧,zh-see
挳,zh-see,摼,zh-see
挵,alt,弄,zh-forms
挵,zh-see,弄,zh-see
挿,zh-see,插,zh-see
捜,zh-see,搜,zh-see
捴,zh-see,總,zh-see
捿,zh-see,棲,zh-see
掲,zh-see,揭,zh-see
掶,zh-see,捷,zh-see
掻,zh-see,搔,zh-see
掽,zh-see,碰,zh-see
揑,zh-see,捏,zh-see
揷,zh-see,插,zh-see
揺,zh-see,搖,zh-see
搇,zh-see,撳,zh-see
搇,zh-see,冚,zh-see
搗,s,捣,zh-forms
搗,alt,擣,zh-forms
搗,alt,𦦰,zh-forms
搗,alt,𦦾,zh-forms
搗,alt,𦦺,zh-forms
搼,zh-see,拳,zh-see
搾,zh-see,榨,zh-see
摀,zh-see,捂,zh-see
摀,zh-see,揣,zh-see
摀,alt,挖,zh-forms
摀,alt,烏,zh-forms
摂,zh-see,攝,zh-see
摉,zh-see,搜,zh-see
摾,zh-see,弶,zh-see
撁,zh-see,牽,zh-see
撃,zh-see,擊,zh-see
撉,zh-see,撴,zh-see
撘,alt,㩉,zh-forms
撘,alt,搨,zh-forms
撡,zh-see,操,zh-see
撦,zh-see,扯,zh-see
撯,zh-see,擆,zh-see
撸,zh-see,擼,zh-see
撹,Han simp:1,攪,Han simp
撹,zh-see,攪,zh-see
擃,s,𫼮,zh-forms
擑,zh-see,接,zh-see
