source_title,relation,target,template
壷,zh-see,壺,zh-see
壹,alt,壱,zh-forms
壹,alt,㚃,zh-forms
壹,alt,夁,zh-forms
壹,alt,𡕍,zh-forms
壹,alt,𡔾,zh-forms
壹,alt,𡔹,zh-forms
壹,alt,𡕋,zh-forms
夏,alt,昰,zh-forms
夏,alt,夓,zh-forms
夏,alt,𠀼,zh-forms
夏,alt,𠌘,zh-forms
夏,alt,𠍺,zh-forms
夏,alt,𡔰,zh-forms
夏,alt,𡕭,zh-forms
夏,alt,𡕻,zh-forms
夏,alt,𡕾,zh-forms
夏,alt,𡖃,zh-forms
夏,alt,𣋗,zh-forms
夏,alt,𤴞,zh-forms
夏,alt,𧈄,zh-forms
夏,alt,𩖳,zh-forms
多,alt,𡖈,zh-forms
多,alt,𢑑,zh-forms
多,alt,夛,zh-forms
够,zh-see,夠,zh-see
太,alt,冭,zh-forms
太,zh-see,泰,zh-see
奖,zh-see,獎,zh-see
妍,alt,姸,zh-forms
妍,alt,蔅,zh-forms
妒,alt,妬,zh-forms
妒,alt,姤,zh-forms
姒,alt,㚶,zh-forms
姒,alt,娰,zh-forms
娟,alt,姢,zh-forms
娱,zh-see,娛,zh-see
媸,alt,疻,zh-forms
寿,zh-see,壽,zh-see
岩,t2,嵒,zh-forms
岩,t3,巗,zh-forms
岩,t4,巖,zh-forms
岩,alt,嵓,zh-forms
归,Han simp:1,歸,Han simp
归,zh-see,歸,zh-see
标,Han simp:1,標,Han simp
标,zh-see,標,zh-see
梦,zh-see,夢,zh-see
檐,t2,簷,zh-forms
殿,alt,𣪍,zh-forms
比,alt,夶,zh-forms
点,zh-see,點,zh-see
烨,Han simp:1,燁,Han simp
烨,zh-see,燁,zh-see
燮,alt,爕,zh-forms
燮,alt,夑,zh-forms
燮,alt,㸉,zh-forms
燮,alt,𤏻,zh-forms
燮,alt,𤎬,zh-forms
燮,alt,𤍛,zh-forms
爽,zh-see,驦,zh-see
疆,alt,畕,zh-forms
疆,alt,壃,zh-forms
疆,alt,疅,zh-forms
疆,alt,弓,zh-forms
郭,alt,𨟍,zh-forms
郭,alt,𩫩,zh-forms
郭,alt,𩫏,zh-forms
郭,alt,𩫖,zh-forms
阵,zh-see,陣,zh-see
降,alt,夅,zh-forms
降,alt,𨹓,zh-forms
降,alt,𡲣,zh-forms
降,alt,𡲛,zh-forms
降,alt,夅,zh-forms
降,alt,𨹓,zh-forms
降,alt,𡲣,zh-forms
降,alt,𡲛,zh-forms
降,alt,𫱔,zh-forms
隘,alt,𨽴,zh-forms
隘,alt,塧,zh-forms
隘,alt,阨,zh-forms
隘,alt,阸,zh-forms
馏,Han simp:1,餾,Han simp
馏,zh-see,餾,zh-see
㙟,zh-see,塱,zh-see
青,t2,靑,zh-forms
青,alt,寈,zh-forms
青,alt,㞭,zh-forms
青,alt,𡗡,zh-forms
青,alt,𡴏,zh-forms
青,alt,𡴙,zh-forms
青,alt,𡴑,zh-forms
青,alt,𡷉,zh-forms
青,alt,𤯝,zh-forms
青,alt,𤯞,zh-forms
专,zh-see,專,zh-see
井,alt,丼,zh-forms
井,zh-see,阱,zh-see
俊,t2,儁,zh-forms
俊,t3,㑺,zh-forms
信,alt,㐰,zh-forms
信,alt,孞,zh-forms
傲,alt,敖,zh-forms
傲,alt,奡,zh-forms
傲,alt,慠,zh-forms
傲,alt,㜜,zh-forms
傲,alt,驁,zh-forms
傲,alt,謷,zh-forms
傲,alt,㥿,zh-forms
傲,alt,嫯,zh-forms
冤,alt,寃,zh-forms
冤,alt,𡨚,zh-forms
冤,alt,𠕤,zh-forms
冤,alt,𡨘,zh-forms
冤,alt,惌,zh-forms
叵,alt,尀,zh-forms
嗣,alt,孠,zh-forms
堯,s,尧,zh-forms
堯,alt,垚,zh-forms
堯,alt,尭,zh-forms
堯,alt,𠒖,zh-forms
堯,alt,𡊪,zh-forms
堯,alt,𡋰,zh-forms
姐,alt,媎,zh-forms
姐,zh-see,啫,zh-see
姻,t2,婣,zh-forms
婕,alt,媫,zh-forms
婧,alt,婙,zh-forms
婴,zh-see,嬰,zh-see
媲,alt,嫓,zh-forms
嫩,alt,嫰,zh-forms
嫩,alt,媆,zh-forms
嫺,zh-see,嫻,zh-see
嬷,zh-see,嬤,zh-see
孳,alt,孶,zh-forms
孳,alt,𢇖,zh-forms
孳,alt,𡥝,zh-forms
宝,Han simp:1,寶,Han simp
宝,zh-see,寶,zh-see
实,zh-see,實,zh-see
宽,Han simp:1,寬,Han simp
宽,zh-see,寬,zh-see
密,alt,宻,zh-forms
密,alt,宓,zh-forms
密,alt,𡶇,zh-forms
密,alt,𢛬,zh-forms
密,alt,𧶡,zh-forms
密,alt,𡪖,zh-forms
密,zh-see,峇,zh-see
密,zh-see,沕,zh-see
寝,zh-see,寢,zh-see
寧,s,宁,zh-forms
寧,alt,寍,zh-forms
寧,alt,㝕,zh-forms
寧,alt,𡩋,zh-forms
寧,alt,甯,zh-forms
寧,alt,𡨴,zh-forms
寧,alt,寜,zh-forms
寧,alt,寕,zh-forms
对,zh-see,對,zh-see
尔,zh-see,爾,zh-see
尪,alt,㑌,zh-forms
尪,alt,尫,zh-forms
尪,alt,尩,zh-forms
尪,alt,翁,zh-forms
尴,Han simp:1,尷,Han simp
尴,zh-see,尷,zh-see
尸,zh-see,屍,zh-see
屎,alt,𦳊,zh-forms
屎,alt,宩,zh-forms
屎,alt,𡱁,zh-forms
屎,alt,𡲑,zh-forms
屎,alt,𡲔,zh-forms
屎,alt,𡲖,zh-forms
屎,alt,𥺶,zh-forms
屎,alt,𥻐,zh-forms
掔,alt,孯,zh-forms
掔,zh-see,腕,zh-see
擘,alt,孹,zh-forms
擘,alt,擗,zh-forms
擘,alt,𤖼,zh-forms
擘,alt,拍,zh-forms
擘,zh-see,副,zh-see
昵,zh-see,暱,zh-see
昵,alt,眤,zh-forms
昵,alt,𣆓,zh-forms
昵,alt,𣽚,zh-forms
燎,alt,尞,zh-forms
穹,alt,宆,zh-forms
穹,alt,𡸕,zh-forms
穹,alt,𠫙,zh-forms
美,alt,媄,zh-forms
美,alt,羙,zh-forms
美,alt,媺,zh-forms
美,alt,嬍,zh-forms
美,alt,𫟈,zh-forms
肉,alt,宍,zh-forms
肉,alt,𥤬,zh-forms
肉,alt,𠕜,zh-forms
肉,alt,𡧢,zh-forms
肉,alt,𠕎,zh-forms
肉,alt,𮌇,zh-forms
肉,alt,脈,zh-forms
肉,alt,𬁲,zh-forms
采,zh-see,採,zh-see
采,zh-see,彩,zh-see
鹤,zh-see,鶴,zh-see
麽,zh-see,麼,zh-see
麽,zh-see,麼,zh-see
㚸,zh-see,媤,zh-see
会,zh-see,會,zh-see
出,alt,㞮,zh-forms
出,zh-see,齣,zh-see
卡,alt,咭,zh-forms
卺,zh-see,巹,zh-see
坂,alt,阪,zh-forms
坂,alt,岅,zh-forms
坂,zh-see,阪,zh-see
孽,alt,孼,zh-forms
屉,zh-see,屜,zh-see
屩,s,𪨗,zh-forms
岙,zh-see,嶴,zh-see
岛,Han simp:1,島,Han simp
岛,zh-see,島,zh-see
岝,alt,岞,zh-forms
岧,alt,岹,zh-forms
岭,zh-see,嶺,zh-see
岭,alt,岺,zh-forms
岭,alt,𡿡,zh-forms
岷,alt,㟭,zh-forms
峛,alt,峢,zh-forms
峛,alt,峲,zh-forms
峥,zh-see,崢,zh-see
峨,alt,峩,zh-forms
峱,alt,𤞍,zh-forms
峱,alt,嶩,zh-forms
峱,alt,巎,zh-forms
峱,alt,巙,zh-forms
峱,alt,𡿟,zh-forms
峱,alt,𡿚,zh-forms
峱,alt,𡾂,zh-forms
崇,alt,崈,zh-forms
崇,alt,𡸶,zh-forms
崐,s,昆,zh-forms
崐,zh-see,崑,zh-see
崖,alt,崕,zh-forms
崖,alt,厓,zh-forms
崖,alt,𪞢,zh-forms
崘,zh-see,崙,zh-see
崛,alt,崫,zh-forms
崛,alt,𡽈,zh-forms
崟,alt,崯,zh-forms
崟,alt,𡷧,zh-forms
崟,alt,㕂,zh-forms
崟,alt,𡷴,zh-forms
崟,alt,碒,zh-forms
崟,alt,吟山,zh-forms
崦,alt,弇,zh-forms
崦,alt,嶖,zh-forms
嵘,zh-see,嶸,zh-see
嵽,s,𫶇,zh-forms
嶃,zh-see,嶄,zh-see
嶢,s,峣,zh-forms
嶢,alt,嶤,zh-forms
嶪,alt,嶫,zh-forms
巂,alt,雟,zh-forms
巂,alt,嶲,zh-forms
巂,alt,酅,zh-forms
巂,alt,雟,zh-forms
巂,alt,嶲,zh-forms
巂,alt,𪈥,zh-forms
巘,s,𪩘,zh-forms
巘,alt,巚,zh-forms
巢,alt,巣,zh-forms
巢,alt,𥊌,zh-forms
巢,alt,巣,zh-forms
巢,alt,皺,zh-forms
巢,alt,鈔,zh-forms
巢,alt,䩌,zh-forms
巽,alt,巺,zh-forms
巽,alt,𢁅,zh-forms
巽,alt,𢁌,zh-forms
洼,zh-see,窪,zh-see
险,Han simp:1,險,Han simp
