corpus_root,grouping,work,author,times,pages,chars,empty_pages,min_juan,max_juan,gaps,src
四庫全書,史部/地理類/古蹟之屬,長安志圖 (四庫全書本),,,3,23103,0,1,3,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,關中勝蹟圖志 (四庫全書本),,,32,262289,0,1,32,0,四庫全書/index.csv
四庫全書,史部/地理類/外紀之屬,坤輿圖説 (四庫全書本),,,2,31296,0,1,2,0,四庫全書/index.csv
四庫全書,史部/地理類/外紀之屬,海語 (四庫全書本),,,3,14202,0,1,3,0,四庫全書/index.csv
四庫全書,史部/地理類/外紀之屬,皇清職貢圖 (四庫全書本),,,9,50302,0,1,9,0,四庫全書/index.csv
四庫全書,史部/地理類/外紀之屬,職方外紀 (四庫全書本),,,6,29236,0,1,6,0,四庫全書/index.csv
四庫全書,史部/地理類/宮殿簿之屬,禁扁 (四庫全書本),,,5,58253,0,1,5,0,四庫全書/index.csv
四庫全書,史部/地理類/山水之屬,桂勝 (四庫全書本),,,4,51079,0,1,4,0,四庫全書/index.csv
四庫全書,史部/地理類/山水之屬,欽定盤山志 (四庫全書本),,,37,152889,16,1,37,0,四庫全書/index.csv
四庫全書,史部/地理類/山水之屬,西湖志纂 (四庫全書本),,,13,121836,0,1,13,0,四庫全書/index.csv
四庫全書,史部/地理類/山水之屬,西湖遊覽志 (四庫全書本),,,50,333298,0,1,50,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,三吳水利錄 (四庫全書本),,,4,29026,0,1,4,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,三呉水考 (四庫全書本),,,16,303639,0,1,16,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,兩河清彚 (四庫全書本),,,8,71440,0,1,8,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,北河紀 (四庫全書本),,,13,130064,1,1,13,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,呉中水利全書 (四庫全書本),,,28,541045,0,1,28,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,呉中水利書 (四庫全書本),,,1,8197,0,1,1,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,四明它山水利備覽 (四庫全書本),,,2,14113,0,1,2,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,居濟一得 (四庫全書本),,,8,74123,0,1,8,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,崑崙河源考 (四庫全書本),,,1,18018,0,1,1,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,敬止集 (四庫全書本),,,4,50471,0,1,4,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,水經注集釋訂訛 (四庫全書本),,,40,507997,0,1,40,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,水道提綱 (四庫全書本),,,28,278982,0,1,28,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,河源紀畧 (四庫全書本),,,35,145049,0,1,35,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,河防一覽 (四庫全書本),,,14,223137,0,1,14,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,河防通議 (四庫全書本),,,2,16643,0,1,2,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,治河圖畧 (四庫全書本),,,1,4285,0,1,1,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,治河奏績書 (四庫全書本),,,4,76841,0,1,4,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,浙西水利書 (四庫全書本),,,3,32538,0,1,3,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,海塘錄 (四庫全書本),,,28,267693,0,1,28,0,四庫全書/index.csv
四庫全書,史部/地理類/河渠之屬,行水金鑑 (四庫全書本),,,176,1362729,0,1,176,0,四庫全書/index.csv
四庫全書,史部/地理類/總志之屬,方輿勝覽 (四庫全書本),,,70,611677,0,1,70,0,四庫全書/index.csv
四庫全書,史部/地理類/總志之屬,明一統志 (四庫全書本),,,90,2473929,0,1,90,0,四庫全書/index.csv
四庫全書,史部/地理類/邊防之屬,籌海圖編 (四庫全書本),,,13,216376,0,1,13,0,四庫全書/index.csv
四庫全書,史部/地理類/邊防之屬,鄭開陽雜著 (四庫全書本),,,11,66289,0,1,11,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,乾道臨安志 (四庫全書本),,,3,27832,0,1,3,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,剡録 (四庫全書本),,,11,57371,0,1,11,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,厯代帝王宅京記 (四庫全書本),,,20,149876,0,1,20,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,吳興備志 (四庫全書本),,,32,204574,0,1,32,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,咸淳臨安志 (四庫全書本),,,99,625624,0,1,99,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,四川通志 (四庫全書本),,,89,1801424,16,1,89,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,姑蘇志 (四庫全書本),,,60,722984,0,1,60,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,寶慶四明志 (四庫全書本),,,33,305590,0,1,33,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,山東通志 (四庫全書本),,,109,2077950,35,1,109,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,山西通志 (四庫全書本),,,230,4227394,0,1,230,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,嶺海輿圖 (四庫全書本),,,1,17733,0,1,1,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,廣東通志 (四庫全書本),,,64,1858021,0,1,64,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,廣西通志 (四庫全書本),,,129,1552064,0,1,129,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,延祐四明志 (四庫全書本),,,20,212388,0,1,20,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,新安志 (四庫全書本),,,10,118408,0,1,10,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,昌國州圖志 (四庫全書本),,,7,31297,0,1,7,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,景定嚴州續志 (四庫全書本),,,10,38152,0,1,10,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,景定建康志 (四庫全書本),,,51,590856,0,1,51,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,朝邑縣志 (四庫全書本),,,2,6414,0,1,2,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,欽定滿洲源流考 (四庫全書本),,,20,193448,0,1,20,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,欽定熱河志 (四庫全書本),,,120,860048,0,1,120,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,欽定皇輿西域圖志 (四庫全書本),,,57,428273,4,1,57,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,欽定盛京通志 (四庫全書本),,,130,1222471,0,1,130,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,武功縣志 (四庫全書本),,,3,31249,0,1,3,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,江南通志 (四庫全書本),,,206,3043762,0,1,206,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,江西通志 (四庫全書本),,,165,3241093,0,1,165,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,河南通志 (四庫全書本),,,80,2129956,0,1,80,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,浙江通志 (四庫全書本),,,283,4680052,0,1,283,0,四庫全書/index.csv
