cited_head,citations,leishu_count,leishu
樂記,74,8,北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；玉海；白孔六帖
南州異物志,73,6,事類賦；北堂書鈔；喻林；太平御覽；御定淵鑑𩔖函；藝文類聚
晉宫閣名,73,5,事類賦；初學記；太平御覽；御定淵鑑𩔖函；藝文類聚
楚詞,73,10,初學記；北堂書鈔；同姓名録；太平御覽；御定淵鑑𩔖函；海録碎事
事文𩔖聚,73,1,御定淵鑑𩔖函
淮南萬畢術,71,5,初學記；太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
仲尼,70,22,事類賦；全芳備祖集；冊府元龜；古今事文類聚；古今合璧事類備要；名賢氏族言行類稿
曽子,70,18,冊府元龜；古今事文類聚；古今合璧事類備要；喻林；圖書編；太平御覽
春秋後語,69,4,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函
紀年,69,7,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事；白孔六帖
通鑑宋紀,68,1,御定淵鑑𩔖函
榖梁傳,67,12,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海
蔡邕月令章句,67,9,事類賦；初學記；北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函
賈誼書,67,7,事類賦；太平御覽；小學紺珠；御定淵鑑𩔖函；玉海；白孔六帖
檀弓,67,10,冊府元龜；北堂書鈔；同姓名録；圖書編；太平御覽；御定淵鑑𩔖函
杜甫詩,67,5,北堂書鈔；御定淵鑑𩔖函；書叙指南；格致鏡原；玉海
張璠漢記,66,9,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
尚書禹貢,66,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
吴志,66,6,事類賦；名賢氏族言行類稿；太平御覽；御定淵鑑𩔖函；編珠；藝文類聚
吳書,65,9,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；御定駢字類編
子産,65,14,冊府元龜；古今事文類聚；古今合璧事類備要；太平御覽；帝王經世圖譜；御定佩文韻府
呉越春秋,64,7,事類賦；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；白孔六帖
魏氏春秋,64,9,事類賦；北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函；白孔六帖
唐六典,63,5,事物紀原；太平御覽；御定淵鑑𩔖函；羣書考索；駢志
續捜神記,63,5,初學記；太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
左傳子産,62,8,圖書編；小學紺珠；帝王經世圖譜；御定佩文韻府；御定分類字錦；御定淵鑑𩔖函
晋書,62,2,太平御覽；御定淵鑑𩔖函
趙書,61,6,事類賦；北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函；藝文類聚
三輔決録,61,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
漢雜事,61,6,北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海；翰苑新書；藝文類聚
王制,60,14,冊府元龜；北堂書鈔；古今事文類聚；古今源流至論；圖書編；太平御覽
桓公,60,10,冊府元龜；喻林；天中記；太平御覽；帝王經世圖譜；御定佩文韻府
書帝,60,5,圖書編；御定佩文韻府；御定分類字錦；御定韻府拾遺；翰苑新書
詩含神霧,59,9,事類賦；初學記；北堂書鈔；太平御覽；廣博物志；御定淵鑑𩔖函
魯連子,59,9,事類賦；初學記；北堂書鈔；喻林；太平御覽；廣博物志
張晏,59,11,名賢氏族言行類稿；天中記；太平御覽；御定分類字錦；御定駢字類編；格致鏡原
戴延之西征記,58,6,事物紀原；事類賦；初學記；太平御覽；御定淵鑑𩔖函；藝文類聚
叔向,58,13,冊府元龜；古今事文類聚；古今合璧事類備要；太平御覽；小學紺珠；御定佩文韻府
注師古,58,5,古今源流至論；御定佩文韻府；御定分類字錦；御定駢字類編；玉海
典論,57,8,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海
史臣,57,15,初學記；北堂書鈔；古今合璧事類備要；古儷府；圖書編；天中記
合璧事𩔖,57,1,御定淵鑑𩔖函
荆楚嵗時記,56,9,事物紀原；事類賦；初學記；天中記；太平御覽；御定淵鑑𩔖函
鄭司農,56,15,初學記；北堂書鈔；圖書編；天中記；太平御覽；帝王經世圖譜
謂之,55,21,事物紀原；事類賦；全芳備祖集；北堂書鈔；古今合璧事類備要；名賢氏族言行類稿
