page_number,final_label,initial_label,character,chars_raw,romanization,occurrence_count,manchu_script,source_chunk
5,ai,m,埋,埋,mai,2,ᠮᠠᡳ,埋 mai 2
5,ai,d,怠,怠,dai,3,ᡩᠠᡳ,怠 dai 3
5,ai,d,歹,歹,dai,2,ᡩᠠᡳ,歹 dai 2
5,ai,d,待,待,dai,,ᡩᠠᡳ,待 dai
5,ai,d,袋,袋,dai,,ᡩᠠᡳ,袋 dai
5,ai,t,太,太,tai,11,ᡨᠠᡳ,太 tai 11
5,ai,n,乃,乃,nai,5,ᠨᠠᡳ,乃 nai 5
5,ai,n,奈,奈,nai,,ᠨᠠᡳ,奈 nai
5,ai,n,奶,奶,nai,,ᠨᠠᡳ,奶 nai
5,ai,l,來,來,lai,123,ᠯᠠᡳ,來 lai 123
5,ai,l,頼,頼,lai,3,ᠯᠠᡳ,頼 lai 3
5,ai,z,在,在,dzai,52,ᡯᠠᡳ,在 dzai 52
5,ai,z,再,再,dzai,24,ᡯᠠᡳ,再 dzai 24
5,ai,c,纔,纔,ts’ai,27,ᡨᠰᠠᡳ,纔 ts’ai 27 / dzai 6
5,ai,c,纔,纔,dzai,6,ᡯᠠᡳ,纔 ts’ai 27 / dzai 6
5,ai,c,菜,菜,ts’ai,4,ᡨᠰᠠᡳ,菜 ts’ai 4 / dzai
5,ai,c,菜,菜,dzai,,ᡯᠠᡳ,菜 ts’ai 4 / dzai
5,ai,c,才,才,ts’ai,,ᡨᠰᠠᡳ,才 ts’ai / dzai
5,ai,c,才,才,dzai,,ᡯᠠᡳ,才 ts’ai / dzai
5,ai,c,猜,猜,ts’ai,,ᡨᠰᠠᡳ,猜 ts’ai
5,ai,zh,債,債,jai,2,ᠵᠠᡳ,債 jai 2
5,ai,zh,窄,窄,dza,,ᡯᠠ,窄 dza
5,ai,ch,差,差,cai,5,ᠴᠠᡳ,差 cai 5
5,ai,g,該,該,g’ai,14,ᡬᠠᡳ,該 g’ai 14
5,ai,g,改,改,g’ai,3,ᡬᠠᡳ,改 g’ai 3
5,ai,g,槩,槩,g’ai,2,ᡬᠠᡳ,槩 g’ai 2
5,ai,k,慨,慨,k’ai,4,ᠺᠠᡳ,慨 k’ai 4
5,ai,k,開,開,k’ai,3,ᠺᠠᡳ,開 k’ai 3
5,ai,h,孩,孩,h’ai,2,ᡭᠠᡳ,孩 h’ai 2
5,ai,h,害,害,h’ai,,ᡭᠠᡳ,害 h’ai / hai
5,ai,h,害,害,hai,,ᡥᠠᡳ,害 h’ai / hai
5,ai,h,海,海,hai,,ᡥᠠᡳ,海 hai
5,ai,∅,愛,愛/爱,ai,8,ᠠᡳ,愛 / 爱 ai 8
5,ai,∅,爱,愛/爱,ai,8,ᠠᡳ,愛 / 爱 ai 8
5,ai,∅,哎,哎,ai,7,ᠠᡳ,哎 ai 7
5,ai,∅,挨,挨,ai,,ᠠᡳ,挨 ai / yai
5,ai,∅,挨,挨,yai,,ᠶᠠᡳ,挨 ai / yai
5,ai,∅,哀,哀,ai,,ᠠᡳ,哀 ai
5,uai,ch,踹,踹,cai,,ᠴᠠᡳ,踹 cai
5,uai,g,怪,怪,guwai,3,ᡤᡠᠸᠠᡳ,怪 guwai 3
5,uai,k,快,快,kuwai,13,ᡴᡠᠸᠠᡳ,快 kuwai 13
5,uai,k,蒯,蒯,kuwai,,ᡴᡠᠸᠠᡳ,蒯 kuwai
5,uai,h,坏,坏,huwai,4,ᡥᡠᠸᠠᡳ,坏 huwai 4
5,uai,h,槐,槐,hūwai,,ᡥᡡᠸᠠᡳ,槐 hūwai
5,uai,w,外,外,wai,10,ᠸᠠᡳ,外 wai 10
5,uai,w,歪,歪,wai,,ᠸᠠᡳ,歪 wai
5,ei,b,盃,盃,bei,5,ᠪᡝᡳ,盃 bei 5
5,ei,b,背,背,bei,3,ᠪᡝᡳ,背 bei 3
5,ei,b,備,備,bei,,ᠪᡝᡳ,備 bei
5,ei,b,悖,悖,bei,,ᠪᡝᡳ,悖 bei
5,ei,b,被,被,bei,,ᠪᡝᡳ,被 bei
5,ei,b,輩,輩,bei,,ᠪᡝᡳ,輩 bei
5,ei,m,毎,毎,mei,3,ᠮᡝᡳ,毎 mei 3
5,ei,f,非,非,fei,5,ᡶᡝᡳ,非 fei 5
5,ei,f,飛,飛,fei,,ᡶᡝᡳ,飛 fei
5,ei,n,内,内,nei,2,ᠨᡝᡳ,内 nei 2
5,ei,l,累,累,lei,,ᠯᡝᡳ,累 lei / lui
5,ei,l,累,累,lui,,ᠯᡠᡳ,累 lei / lui
5,uei,d,對,對/对,dui,7,ᡩᡠᡳ,對 / 对 dui 7
5,uei,d,对,對/对,dui,7,ᡩᡠᡳ,對 / 对 dui 7
5,uei,t,推,推,tui,7,ᡨᡠᡳ,推 tui 7
5,uei,t,退,退,tui,,ᡨᡠᡳ,退 tui
5,uei,t,腿,腿,tui,,ᡨᡠᡳ,腿 tui
5,uei,z,嘴,嘴,dzui,7,ᡯᡠᡳ,嘴 dzui 7
5,uei,z,酔,酔,dzui,6,ᡯᡠᡳ,酔 dzui 6
5,uei,z,最,最,dzui,,ᡯᡠᡳ,最 dzui
5,uei,c,催,催,ts’ui,5,ᡨᠰᡠᡳ,催 ts’ui 5
6,uei,s,雖,雖,sui,12,ᠰᡠᡳ,雖 sui 12
6,uei,s,岁,岁,sui,4,ᠰᡠᡳ,岁 sui 4
6,uei,s,隨,隨,sui,,ᠰᡠᡳ,隨 sui
6,uei,sh,誰,誰,šui,18,ᡧᡠᡳ,誰 šui 18
6,uei,sh,水,水,šui,2,ᡧᡠᡳ,水 šui 2
6,uei,sh,睡,睡,šui,,ᡧᡠᡳ,睡 šui
6,uei,g,規,規,gui,5,ᡤᡠᡳ,規 gui 5
6,uei,g,貴,貴,gui,2,ᡤᡠᡳ,貴 gui 2
6,uei,g,歸,歸,gui,,ᡤᡠᡳ,歸 gui
6,uei,k,虧,虧,kui,2,ᡴᡠᡳ,虧 kui 2
6,uei,k,愧,愧,kui,2,ᡴᡠᡳ,愧 kui 2
6,uei,h,會,會/会,hūi,20,ᡥᡡᡳ,會 / 会 hūi 20
6,uei,h,会,會/会,hūi,20,ᡥᡡᡳ,會 / 会 hūi 20
6,uei,h,回,回,hūi,8,ᡥᡡᡳ,回 hūi 8
6,uei,h,悔,悔,hui,,ᡥᡠᡳ,悔 hui
6,uei,h,灰,灰,hui,,ᡥᡠᡳ,灰 hui
6,uei,w,為,為,wei,22,ᠸᡝᡳ,為 wei 22
6,uei,w,未,未,wei,5,ᠸᡝᡳ,未 wei 5
6,uei,w,味,味,wei,3,ᠸᡝᡳ,味 wei 3
6,uei,w,位,位,wei,2,ᠸᡝᡳ,位 wei 2
6,uei,w,尾,尾,wei,,ᠸᡝᡳ,尾 wei
6,uei,w,微,微,wei,,ᠸᡝᡳ,微 wei
6,uei,w,謂,謂,wei,,ᠸᡝᡳ,謂 wei
6,uei,w,衛,衛,wei,,ᠸᡝᡳ,衛 wei
6,ao,b,報,報/报,boo,6,ᠪᠣᠣ,報 / 报 boo 6
6,ao,b,报,報/报,boo,6,ᠪᠣᠣ,報 / 报 boo 6
6,ao,b,保,保,boo,3,ᠪᠣᠣ,保 boo 3
6,ao,b,飽,飽,boo,,ᠪᠣᠣ,飽 boo
6,ao,b,抱,抱,boo,,ᠪᠣᠣ,抱 boo
6,ao,p,跑,跑,poo,,ᡦᠣᠣ,跑 poo
6,ao,m,貌,貌,mao,,ᠮᠠᠣ,貌 mao
6,ao,d,道,道,dao,37,ᡩᠠᠣ,道 dao 37
6,ao,d,到,到,dao,24,ᡩᠠᠣ,到 dao 24
6,ao,d,倒,倒,dao,7,ᡩᠠᠣ,倒 dao 7
6,ao,d,叨,叨,dao,3,ᡩᠠᠣ,叨 dao 3
6,ao,d,導,導,dao,,ᡩᠠᠣ,導 dao
6,ao,t,討,討,tao,3,ᡨᠠᠣ,討 tao 3
6,ao,t,套,套,tao,2,ᡨᠠᠣ,套 tao 2
6,ao,n,恼,恼,nao,2,ᠨᠠᠣ,恼 nao 2
6,ao,n,閙,閙,nao,,ᠨᠠᠣ,nao 閙
6,ao,l,老,老,lao,2,ᠯᠠᠣ,老 lao 2 / loo 6
6,ao,l,老,老,loo,6,ᠯᠣᠣ,老 lao 2 / loo 6
6,ao,l,勞,勞/劳,lao,3,ᠯᠠᠣ,勞 / 劳 lao 3
6,ao,l,劳,勞/劳,lao,3,ᠯᠠᠣ,勞 / 劳 lao 3
6,ao,l,撈,撈,loo,,ᠯᠣᠣ,撈 loo
6,ao,z,遭,遭,dzao,11,ᡯᠠᠣ,遭 dzao 11
6,ao,z,早,早,dzao,3,ᡯᠠᠣ,早 dzao 3
