dataset_slug,dataset_group,represents,writing_system,display_label,source_citation,source_citation_full,source_work,source_author,source_year,underlying_text,underlying_text_year,character,transcription_latin,transcription_manchu,transcription_ipa,initial_label,final_label,occurrence_count,page_number,source_chunk,chars_raw
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,拉,la,ᠯᠠ,la,l,a,7,1,拉 la 7,拉
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,雜,dza,ᡯᠠ,tsa,z,a,2,1,雜 dza 2,雜
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,撒,sa,ᠰᠠ,sa,s,a,5,1,撒 sa 5,撒
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,扎,ja,ᠵᠠ,tʃa,zh,a,,1,扎 ja,扎
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,茶,ca,ᠴᠠ,tʃʰa,ch,a,5,1,茶 ca 5,茶
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,差,ca,ᠴᠠ,tʃʰa,ch,a,,1,差 ca,差
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,殺,ša,ᡧᠠ,ʃa,sh,a,3,1,殺 ša 3,殺
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,哈,ha,ᡥᠠ,χa,h,a,2,1,哈 ha 2,哈
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,阿,a,ᠠ,a,∅,a,107,1,阿 a 107,阿
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,啊,a,ᠠ,a,∅,a,58,1,啊 a 58,啊
