source_url,author_page,work_title,section,page_title,output_clean_path,output_raw_path,segment_mode,median_default_score,prop_literary,prop_modern,prop_uncertain,suspected_baihua,score_error
https://zh.wikisource.org/wiki/%E7%82%BA%E5%8D%97%E6%96%B9%E7%86%8A%E6%A5%A0%E9%A1%8C%E8%A9%9E,作者:孫中山,為南方熊楠題詞,,為南方熊楠題詞,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\為南方熊楠題詞\為南方熊楠題詞__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\為南方熊楠題詞\為南方熊楠題詞__juan_01.txt,paragraph,0.000000,0.000000,0.500000,0.500000,True,
https://zh.wikisource.org/wiki/%E7%82%BA%E5%95%86%E5%9C%98%E4%BA%8B%E4%BB%B6%E5%B0%8D%E5%A4%96%E5%AE%A3%E8%A8%80,作者:孫中山,為商團事件對外宣言,,為商團事件對外宣言,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\為商團事件對外宣言\為商團事件對外宣言__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\為商團事件對外宣言\為商團事件對外宣言__juan_01.txt,paragraph,-2.115000,0.300000,0.600000,0.100000,True,
https://zh.wikisource.org/wiki/%E7%82%BA%E5%AE%8B%E6%A1%88%E5%91%8A%E5%A4%96%E5%9C%8B%E6%94%BF%E5%BA%9C%E8%88%87%E4%BA%BA%E6%B0%91%E6%9B%B8%EF%BC%88%E8%AD%AF%EF%BC%89,作者:孫中山,為宋案告外國政府與人民書（譯）,,為宋案告外國政府與人民書（譯）,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\為宋案告外國政府與人民書（譯）\為宋案告外國政府與人民書（譯）__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\為宋案告外國政府與人民書（譯）\為宋案告外國政府與人民書（譯）__juan_01.txt,paragraph,-875.070230,0.000000,1.000000,0.000000,True,
https://zh.wikisource.org/wiki/%E7%82%BA%E8%A2%81%E6%B0%8F%E5%8F%9B%E5%9C%8B%E5%B0%8D%E5%9C%8B%E6%B0%91%E5%AE%A3%E8%A8%80,作者:孫中山,為袁氏叛國對國民宣言,,為袁氏叛國對國民宣言,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\為袁氏叛國對國民宣言\為袁氏叛國對國民宣言__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\為袁氏叛國對國民宣言\為袁氏叛國對國民宣言__juan_01.txt,paragraph,14.015625,1.000000,0.000000,0.000000,False,
https://zh.wikisource.org/wiki/%E7%89%A9%E8%B3%AA%E5%BB%BA%E8%A8%AD%2F%E7%AC%AC%E4%B8%80%E8%A8%88%E5%8A%83,作者:孫中山,物質建設/第一計劃,,物質建設/第一計劃,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\物質建設_第一計劃\物質建設_第一計劃__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\物質建設_第一計劃\物質建設_第一計劃__juan_01.txt,paragraph,4.500000,0.634146,0.048780,0.317073,False,
https://zh.wikisource.org/wiki/%E7%89%A9%E8%B3%AA%E5%BB%BA%E8%A8%AD%2F%E7%AC%AC%E4%B8%89%E8%A8%88%E5%8A%83,作者:孫中山,物質建設/第三計劃,,物質建設/第三計劃,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\物質建設_第三計劃\物質建設_第三計劃__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\物質建設_第三計劃\物質建設_第三計劃__juan_01.txt,paragraph,4.500000,0.538961,0.012987,0.448052,False,
https://zh.wikisource.org/wiki/%E7%89%A9%E8%B3%AA%E5%BB%BA%E8%A8%AD%2F%E7%AC%AC%E4%BA%8C%E8%A8%88%E5%8A%83,作者:孫中山,物質建設/第二計劃,,物質建設/第二計劃,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\物質建設_第二計劃\物質建設_第二計劃__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\物質建設_第二計劃\物質建設_第二計劃__juan_01.txt,paragraph,4.500000,0.563025,0.016807,0.420168,False,
https://zh.wikisource.org/wiki/%E7%89%A9%E8%B3%AA%E5%BB%BA%E8%A8%AD%2F%E7%AC%AC%E4%BA%94%E8%A8%88%E5%8A%83,作者:孫中山,物質建設/第五計劃,,物質建設/第五計劃,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\物質建設_第五計劃\物質建設_第五計劃__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\物質建設_第五計劃\物質建設_第五計劃__juan_01.txt,paragraph,0.000000,0.486486,0.000000,0.513514,False,
https://zh.wikisource.org/wiki/%E7%89%A9%E8%B3%AA%E5%BB%BA%E8%A8%AD%2F%E7%AC%AC%E5%85%AD%E8%A8%88%E5%8A%83,作者:孫中山,物質建設/第六計劃,,物質建設/第六計劃,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\物質建設_第六計劃\物質建設_第六計劃__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\物質建設_第六計劃\物質建設_第六計劃__juan_01.txt,paragraph,4.500000,0.590909,0.000000,0.409091,False,
https://zh.wikisource.org/wiki/%E7%89%A9%E8%B3%AA%E5%BB%BA%E8%A8%AD%2F%E7%AC%AC%E5%9B%9B%E8%A8%88%E5%8A%83,作者:孫中山,物質建設/第四計劃,,物質建設/第四計劃,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\物質建設_第四計劃\物質建設_第四計劃__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\物質建設_第四計劃\物質建設_第四計劃__juan_01.txt,paragraph,0.000000,0.287129,0.072607,0.640264,False,
