work_title,parts,source_categories,category_path
渡江 (啓定帝),1,阮朝,越南 > 阮朝
準許吏部吳大臣辭職諭旨,1,阮朝,越南 > 阮朝
潘廷逢臨終詩,1,阮朝,越南 > 阮朝
甲戌科進士題名記,1,後黎朝,越南 > 後黎朝
登羅哥與沙露公作別,1,阮朝,越南 > 阮朝
百多祿祭文,1,阮朝,越南 > 阮朝
皇越龍興志,67,越南,越南
皇黎一統志,17,越南,越南
禪位皇五子永珊制,1,越南皇帝詔書，阮朝,越南 > 越南皇帝詔書
禪位詔 (黎恭皇),1,後黎朝，越南皇帝詔書,越南 > 後黎朝
築室衡山賦,1,阮朝,越南 > 阮朝
紹治元年三月二十二日硃批一道,1,越南典籍,越南 > 越南典籍
經河靜,1,阮朝,越南 > 阮朝
綠海偶然谷,1,阮朝,越南 > 阮朝
綠海行舟,1,阮朝,越南 > 阮朝
維新帝晉光恩詔,1,阮朝,越南 > 阮朝
聖諭罷科舉法,1,阮朝,越南 > 阮朝
萬劫宗秘傳書序,1,越南典籍,越南 > 越南典籍
藍山實錄,9,後黎朝,越南 > 後黎朝
西山行,1,後黎朝,越南 > 後黎朝
西越國國太夫人阮氏之墓,1,後黎朝，越南漢喃銘文,越南 > 後黎朝
覽丘驢三青峒,1,阮朝,越南 > 阮朝
覽南風報館表賜詩一章,1,阮朝,越南 > 阮朝
覽同登城庯,1,阮朝,越南 > 阮朝
覽本國技藝賽會 (其一),1,阮朝,越南 > 阮朝
覽本國技藝賽會 (其二),1,阮朝,越南 > 阮朝
覽永國公生祠,1,阮朝,越南 > 阮朝
覽河城大演兵陣,1,阮朝,越南 > 阮朝
覽河齋上游路,1,阮朝,越南 > 阮朝
覽玻璃屯兵,1,阮朝,越南 > 阮朝
覽紅十字會薦技求濟,1,阮朝,越南 > 阮朝
覽綠海奇觀石峒賜名五彩祥雲峒偶得五言排律十二韻,1,阮朝,越南 > 阮朝
覽遠東印機所,1,阮朝,越南 > 阮朝
覽遠東書院,1,阮朝,越南 > 阮朝
覽醫院學場,1,阮朝,越南 > 阮朝
覽高等學場,1,阮朝,越南 > 阮朝
覽鬭巧場,1,阮朝,越南 > 阮朝
論衡,1,越南,越南
諭諸裨將檄文,1,越南典籍,越南 > 越南典籍
讀小青記,1,越南典籍，阮朝,越南 > 越南典籍
越南亡國史,1,阮朝,越南 > 阮朝
越南小志,1,越南,越南
越史略,4,越南,越南
追贈武范諴參知銜誥,1,阮朝,越南 > 阮朝
遊覽湖西,1,阮朝,越南 > 阮朝
過橫山,1,阮朝,越南 > 阮朝
遷都詔,1,越南皇帝詔書,越南 > 越南皇帝詔書
鄭氏世家,13,越南,越南
重修趙皇帝神祠碑銘并序,1,越南典籍,越南 > 越南典籍
錦榮公主墓碑銘,1,後黎朝，越南漢喃銘文,越南 > 後黎朝
阮福映即位詔,1,阮朝,越南 > 阮朝
阻兵行,1,越南典籍，阮朝,越南 > 越南典籍
雄廟紀念碑,1,阮朝,越南 > 阮朝
雄王祠考,1,阮朝,越南 > 阮朝
題范舍鄉亭,1,阮朝,越南 > 阮朝
顯考隆美郡公阮公碑銘,1,阮朝,越南 > 阮朝
駐蹕乂安,1,阮朝,越南 > 阮朝
駐蹕廣平,1,阮朝,越南 > 阮朝
駕囘南定,1,阮朝,越南 > 阮朝
駕幸上審院,1,阮朝,越南 > 阮朝
駕幸塗山午膳,1,阮朝,越南 > 阮朝
駕幸山西省,1,阮朝,越南 > 阮朝
駕幸海防,1,阮朝,越南 > 阮朝
駕幸石城縣覽庯閣柳杏公主祠,1,阮朝,越南 > 阮朝
駕幸錦坡覽煤礦,1,阮朝,越南 > 阮朝
鼎鍥大越歷朝登科錄,5,後黎朝，越南典籍,越南 > 後黎朝
龍城琴者歌,1,越南典籍，阮朝,越南 > 越南典籍
