glyph,moe_id,grade,canonical_moe_id,canonical_glyph
乏,A00032,正字 ,A00032,乏
𠂜,A00032-001,異體字 ,A00032,乏
𠓟,A00032-002,異體字 ,A00032,乏
𣥄,A00032-003,異體字 ,A00032,乏
󰁮,A00032-005,異體字 ,A00032,乏
󰁥,A00032-006,異體字 ,A00032,乏
󰁯,A00032-007,異體字 ,A00032,乏
󰁰,A00032-008,異體字 ,A00032,乏
乎,A00033,正字 ,A00033,乎
𠂞,A00033-001,異體字 ,A00033,乎
󰁱,A00033-002,異體字 ,A00033,乎
𠂠,A00033-003,異體字 ,A00033,乎
󰁲,A00033-004,異體字 ,A00033,乎
虖,A00033-006,異體字 ,A00033,乎
乒,A00034,正字 ,A00034,乒
乓,A00035,正字 ,A00035,乓
乖,A00036,正字 ,A00036,乖
𠂯,A00036-001,異體字 ,A00036,乖
𦭅,A00036-002,異體字 ,A00036,乖
𦮃,A00036-003,異體字 ,A00036,乖
󰁳,A00036-004,異體字 ,A00036,乖
󰁴,A00036-005,異體字 ,A00036,乖
󰁵,A00036-006,異體字 ,A00036,乖
󰁶,A00036-007,異體字 ,A00036,乖
󰁷,A00036-008-1,異體字 ,A00036,乖
󰁸,A00036-008-2,異體字 ,A00036,乖
󰁹,A00036-008-3,異體字 ,A00036,乖
𠁰,A00036-009,異體字 ,A00036,乖
󰁺,A00036-010,異體字 ,A00036,乖
󰁻,A00036-011,異體字 ,A00036,乖
󰁼,A00036-013,異體字 ,A00036,乖
󰁽,A00036-014,異體字 ,A00036,乖
󰁾,A00036-016,異體字 ,A00036,乖
󰁿,A00036-017,異體字 ,A00036,乖
𠦬,A00036-018,異體字 ,A00036,乖
乘,A00037,正字 ,A00037,乘
乗,A00037-001,異體字 ,A00037,乘
𠅞,A00037-002,異體字 ,A00037,乘
𠅟,A00037-003,異體字 ,A00037,乘
𠓸,A00037-004,異體字 ,A00037,乘
𠨇,A00037-005,異體字 ,A00037,乘
椉,A00037-006,異體字 ,A00037,乘
𣔕,A00037-007,異體字 ,A00037,乘
𨌤,A00037-008,異體字 ,A00037,乘
𨍱,A00037-009,異體字 ,A00037,乘
󰂀,A00037-010,異體字 ,A00037,乘
󰂁,A00037-011,異體字 ,A00037,乘
󰂂,A00037-012,異體字 ,A00037,乘
󰂃,A00037-013,異體字 ,A00037,乘
󰂄,A00037-015,異體字 ,A00037,乘
󰂅,A00037-016,異體字 ,A00037,乘
𠓽,A00037-017,異體字 ,A00037,乘
󰂇,A00037-018,異體字 ,A00037,乘
󰂈,A00037-021,異體字 ,A00037,乘
󰂉,A00037-022,異體字 ,A00037,乘
󰂊,A00037-023,異體字 ,A00037,乘
󰂋,A00037-024,異體字 ,A00037,乘
󰂌,A00037-025,異體字 ,A00037,乘
󰂍,A00037-027,異體字 ,A00037,乘
󰂎,A00037-029,異體字 ,A00037,乘
󰂏,A00037-030,異體字 ,A00037,乘
󰂐,A00037-031,異體字 ,A00037,乘
󰂑,A00037-032,異體字 ,A00037,乘
󰂒,A00037-035,異體字 ,A00037,乘
󰂓,A00037-037,異體字 ,A00037,乘
󰂔,A00037-038,異體字 ,A00037,乘
󰂕,A00037-039,附錄字 ,A00037,乘
󰂖,A00037-040,附錄字 ,A00037,乘
乙,A00038,正字 ,A00038,乙
乚,A00038-001,異體字 ,A00038,乙
󰂘,A00038-003,異體字 ,A00038,乙
九,A00039,正字 ,A00039,九
𢌬,A00039-001,異體字 ,A00039,九
𣲄,A00039-002,異體字 ,A00039,九
玖,A00039-002-1,異體字 ,A00039,九
󰂙,A00039-002-2,異體字 ,A00039,九
也,A00040,正字 ,A00040,也
𠔄,A00040-002,異體字 ,A00040,也
𦫴,A00040-003,異體字 ,A00040,也
𦬀,A00040-004,異體字 ,A00040,也
󰂚,A00040-005,異體字 ,A00040,也
󰂛,A00040-006,異體字 ,A00040,也
󰂜,A00040-007,異體字 ,A00040,也
𠃟,A00040-007-1,異體字 ,A00040,也
󰂝,A00040-009,異體字 ,A00040,也
󰂞,A00040-010,異體字 ,A00040,也
󰂟,A00040-011,異體字 ,A00040,也
󰂠,A00040-012,異體字 ,A00040,也
乞,A00041,正字 ,A00041,乞
󰂡,A00041-001,異體字 ,A00041,乞
气,A00041-002,異體字 ,A00041,乞
󰂢,A00041-003,異體字 ,A00041,乞
󰂣,A00041-004,異體字 ,A00041,乞
󰂤,A00041-005,異體字 ,A00041,乞
󰂥,A00041-006,異體字 ,A00041,乞
󰂦,A00041-007,異體字 ,A00041,乞
乩,A00042,正字 ,A00042,乩
乳,A00043,正字 ,A00043,乳
𠂏,A00043-001,異體字 ,A00043,乳
𦜘,A00043-002,異體字 ,A00043,乳
𡇲,A00043-003,異體字 ,A00043,乳
󰂧,A00043-004,異體字 ,A00043,乳
󰂨,A00043-005,異體字 ,A00043,乳
乾,A00044,正字 ,A00044,乾
乹,A00044-001,異體字 ,A00044,乾
𠄄,A00044-003-1,異體字 ,A00044,乾
𠄊,A00044-004,異體字 ,A00044,乾
𠄋,A00044-005,異體字 ,A00044,乾
𨺩,A00044-006,異體字 ,A00044,乾
󰂩,A00044-007,異體字 ,A00044,乾
󰂪,A00044-008,異體字 ,A00044,乾
󰂫,A00044-009,異體字 ,A00044,乾
󰂬,A00044-010,異體字 ,A00044,乾
󰂭,A00044-011,異體字 ,A00044,乾
󰂮,A00044-012,異體字 ,A00044,乾
󰂯,A00044-013,異體字 ,A00044,乾
󰂰,A00044-014,異體字 ,A00044,乾
󰂱,A00044-015,異體字 ,A00044,乾
󰂲,A00044-016,異體字 ,A00044,乾
󰂳,A00044-017,異體字 ,A00044,乾
󰂴,A00044-018,異體字 ,A00044,乾
󰂵,A00044-020,異體字 ,A00044,乾
󰂶,A00044-021,異體字 ,A00044,乾
󰂷,A00044-022,異體字 ,A00044,乾
󰂸,A00044-023,異體字 ,A00044,乾
󰂹,A00044-024,異體字 ,A00044,乾
󰂺,A00044-025,異體字 ,A00044,乾
󰂻,A00044-027,異體字 ,A00044,乾
󰂼,A00044-028,異體字 ,A00044,乾
󰂽,A00044-029,異體字 ,A00044,乾
󰂾,A00044-031,異體字 ,A00044,乾
󰂿,A00044-032,異體字 ,A00044,乾
𣦖,A00044-033,異體字 ,A00044,乾
干,A00044-034,異體字 ,A00044,乾
󰃀,A00044-035,異體字 ,A00044,乾
󰃁,A00044-036,異體字 ,A00044,乾
󰃂,A00044-037,異體字 ,A00044,乾
󰃃,A00044-037-1,異體字 ,A00044,乾
漧,A00044-037-2,異體字 ,A00044,乾
󰃄,A00044-038,附錄字 ,A00044,乾
󰃅,A00044-039,附錄字 ,A00044,乾
󰃆,A00044-040,附錄字 ,A00044,乾
𤌹,A00044-042,附錄字 ,A00044,乾
󰃇,A00044-043,附錄字 ,A00044,乾
亂,A00045,正字 ,A00045,亂
乱,A00045-001,異體字 ,A00045,亂
𠧎,A00045-002,異體字 ,A00045,亂
𠧏,A00045-003,異體字 ,A00045,亂
𠮗,A00045-004,異體字 ,A00045,亂
𢮣,A00045-005,異體字 ,A00045,亂
𤔦,A00045-007,異體字 ,A00045,亂
𤕍,A00045-008,異體字 ,A00045,亂
釠,A00045-010,異體字 ,A00045,亂
󰃈,A00045-011,異體字 ,A00045,亂
󰃉,A00045-014,異體字 ,A00045,亂
󰃊,A00045-015,異體字 ,A00045,亂
󰃋,A00045-016,異體字 ,A00045,亂
乨,A00045-017-1,異體字 ,A00045,亂
𠃶,A00045-017-2,異體字 ,A00045,亂
󰃌,A00045-017-3,異體字 ,A00045,亂
󰃍,A00045-017-4,異體字 ,A00045,亂
󰃎,A00045-017-5,異體字 ,A00045,亂
󰃏,A00045-017-6,異體字 ,A00045,亂
𤔔,A00045-017-7,異體字 ,A00045,亂
󰃐,A00045-018,異體字 ,A00045,亂
󰃑,A00045-019,異體字 ,A00045,亂
󰃒,A00045-020,異體字 ,A00045,亂
󰃓,A00045-021,異體字 ,A00045,亂
󰃔,A00045-022,異體字 ,A00045,亂
󰃕,A00045-023,異體字 ,A00045,亂
󰃖,A00045-024,異體字 ,A00045,亂
󰃗,A00045-026,異體字 ,A00045,亂
󰃘,A00045-027,異體字 ,A00045,亂
󰃙,A00045-028,異體字 ,A00045,亂
󰃚,A00045-029,異體字 ,A00045,亂
󰃛,A00045-030,異體字 ,A00045,亂
󰃜,A00045-031,異體字 ,A00045,亂
󰃝,A00045-032,異體字 ,A00045,亂
󰃞,A00045-033,異體字 ,A00045,亂
󰃟,A00045-034,異體字 ,A00045,亂
󰃠,A00045-035,異體字 ,A00045,亂
󰃡,A00045-036,異體字 ,A00045,亂
󰃢,A00045-037,異體字 ,A00045,亂
󰃣,A00045-038,異體字 ,A00045,亂
󰃤,A00045-039,異體字 ,A00045,亂
󰃥,A00045-040,異體字 ,A00045,亂
󰃦,A00045-041,異體字 ,A00045,亂
󰃧,A00045-042,異體字 ,A00045,亂
󰃨,A00045-043,異體字 ,A00045,亂
󰃩,A00045-044,異體字 ,A00045,亂
󰃫,A00045-046,異體字 ,A00045,亂
󰃭,A00045-050,異體字 ,A00045,亂
󰃮,A00045-051,異體字 ,A00045,亂
󰃯,A00045-054,異體字 ,A00045,亂
󰃰,A00045-055,異體字 ,A00045,亂
󰃱,A00045-056,異體字 ,A00045,亂
󰃲,A00045-057,異體字 ,A00045,亂
󰃳,A00045-058,異體字 ,A00045,亂
󰃴,A00045-059,異體字 ,A00045,亂
󰃵,A00045-060,異體字 ,A00045,亂
󰃶,A00045-061,異體字 ,A00045,亂
󰃷,A00045-062,異體字 ,A00045,亂
󰃸,A00045-067,異體字 ,A00045,亂
󰃹,A00045-068,異體字 ,A00045,亂
󰃺,A00045-069,異體字 ,A00045,亂
󰃻,A00045-070,異體字 ,A00045,亂
𤕅,A00045-071,異體字 ,A00045,亂
󰃼,A00045-072,異體字 ,A00045,亂
󰃽,A00045-072-1,異體字 ,A00045,亂
󰃾,A00045-072-2,異體字 ,A00045,亂
,A00045-072-3,異體字 ,A00045,亂
󰃿,A00045-073,附錄字 ,A00045,亂
󰄀,A00045-074,附錄字 ,A00045,亂
󰄁,A00045-075,附錄字 ,A00045,亂
󰄂,A00045-076,附錄字 ,A00045,亂
,A00045-077,附錄字 ,A00045,亂
󰄃,A00045-078,附錄字 ,A00045,亂
󰄄,A00045-079,附錄字 ,A00045,亂
󰄅,A00045-080,附錄字 ,A00045,亂
󰄆,A00045-081,附錄字 ,A00045,亂
了,A00046,正字 ,A00046,了
予,A00047,正字 ,A00047,予
󰄇,A00047-002,異體字 ,A00047,予
事,A00048,正字 ,A00048,事
𠁱,A00048-001,異體字 ,A00048,事
叓,A00048-002,異體字 ,A00048,事
𠭏,A00048-003,異體字 ,A00048,事
𤔇,A00048-004,異體字 ,A00048,事
󰄈,A00048-005,異體字 ,A00048,事
󰄉,A00048-007,異體字 ,A00048,事
󰄊,A00048-008,異體字 ,A00048,事
󰄋,A00048-012,異體字 ,A00048,事
󰄌,A00048-013,異體字 ,A00048,事
󰄍,A00048-014,異體字 ,A00048,事
󰄎,A00048-017,異體字 ,A00048,事
󰄏,A00048-018,異體字 ,A00048,事
󰄐,A00048-019,異體字 ,A00048,事
󳠺,A00048-020,異體字 ,A00048,事
󰄑,A00048-021,異體字 ,A00048,事
󰄒,A00048-021-1,異體字 ,A00048,事
𠫺,A00048-021-3,異體字 ,A00048,事
