polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes
japan.oshi	忍藩	1633	1871	藩	江戸時代;明治時代	Oshi	Oshi Domain	忍藩	html_alternate_ja	1590-1600/1633-1871	2	polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.oginoyamanaka		1783	1871	藩	江戸時代;明治時代	Oginoyamanaka	Oginoyamanaka Domain			1783-1871		polity	Kantō region	Sagami Province (Present-day Southwestern Kanagawa Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.mineyama	三根山藩	1620	1868	藩	江戸時代	Mineyama	Mineyama Domain (Echigo)	三根山藩	html_alternate_ja	1620-1868		polity	Chūbu	Echigo Province (Present-day Niigata Prefecture)	link_label_differs_from_page	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takato	高遠藩	1600	1689	藩	安土桃山時代;江戸時代	Takatō	Takatō Domain	高遠藩	html_alternate_ja	1600-1689/1691-1871	1	polity	Chūbu	Shinano Province (Present-day Nagano Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takato	高遠藩	1691	1871	藩	江戸時代;明治時代	Takatō	Takatō Domain	高遠藩	html_alternate_ja	1600-1689/1691-1871	2	polity	Chūbu	Shinano Province (Present-day Nagano Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tanokuchi		1711	1871	藩	江戸時代;明治時代	Tanokuchi	Tanokuchi Domain			1711-1871		polity	Chūbu	Shinano Province (Present-day Nagano Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yamura		1709	1724	藩	江戸時代	Yamura	Yamura Domain			1709-1724		polity	Chūbu	Kai Province (Present-day Yamanashi Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takahama		1600	1608	藩	安土桃山時代;江戸時代	Takahama	Takahama Domain			1600-1608		polity	Chūbu	Wakasa Province (Present-day Southern Fukui Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.sunpu	駿府藩	1601	1606	藩	安土桃山時代;江戸時代	Sunpu	Sunpu Domain	駿府藩	html_alternate_ja	1601-1606/1609-1619/1625-1634/1869-1871	1	polity	Tōkai	Suruga Province (Present-day Central Shizuoka Prefecture around Shizuoka City)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.sunpu	駿府藩	1609	1619	藩	江戸時代	Sunpu	Sunpu Domain	駿府藩	html_alternate_ja	1601-1606/1609-1619/1625-1634/1869-1871	2	polity	Tōkai	Suruga Province (Present-day Central Shizuoka Prefecture around Shizuoka City)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.sunpu	駿府藩	1625	1634	藩	江戸時代	Sunpu	Sunpu Domain	駿府藩	html_alternate_ja	1601-1606/1609-1619/1625-1634/1869-1871	3	polity	Tōkai	Suruga Province (Present-day Central Shizuoka Prefecture around Shizuoka City)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.sunpu	駿府藩	1869	1871	藩	明治時代	Sunpu	Sunpu Domain	駿府藩	html_alternate_ja	1601-1606/1609-1619/1625-1634/1869-1871	4	polity	Tōkai	Suruga Province (Present-day Central Shizuoka Prefecture around Shizuoka City)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.hatagamura		1688	1869	藩	江戸時代;明治時代	Hatagamura	Hatagamura Domain			1688-1869		polity	Tōkai	Mikawa Province (Present-day Eastern Aichi Prefecture around Toyohashi)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.nishi_ohira	西大平藩	1616	1871	藩	江戸時代;明治時代	Nishi-Ōhira	Nishiōhira Domain	西大平藩	html_alternate_ja	1616-1871		polity	Tōkai	Mikawa Province (Present-day Eastern Aichi Prefecture around Toyohashi)	link_label_differs_from_page	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ogyu	奥殿藩	1684	1711	藩	江戸時代	Ogyū	Okutono Domain	奥殿藩	html_alternate_ja	1684-1711		polity	Tōkai	Mikawa Province (Present-day Eastern Aichi Prefecture around Toyohashi)	link_label_differs_from_page	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ashisuke				藩	""	Ashisuke	Ashisuke Domain			dates unknown		polity	Tōkai	Mikawa Province (Present-day Eastern Aichi Prefecture around Toyohashi)	unknown_dates;missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shinshiro		1616	1648	藩	江戸時代	Shinshiro	Shinshiro Domain			1616-1648		polity	Tōkai	Mikawa Province (Present-day Eastern Aichi Prefecture around Toyohashi)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.owari_kuroda				藩	""	Owari Kuroda	Owari Kuroda Domain			dates unknown		polity	Tōkai	Owari Province (Present-day Western Aichi Prefecture around Nagoya)	unknown_dates;missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kiyosu		1600	1610	藩	安土桃山時代;江戸時代	Kiyosu	Kiyosu Domain			1600-1610		polity	Tōkai	Owari Province (Present-day Western Aichi Prefecture around Nagoya)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.imao		1607	1871	藩	江戸時代;明治時代	Imao	Imao Domain			1607-1871		polity	Tōkai	Mino Province (Present-day Southern Gifu Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takasu	高須藩	1600	1676	藩	安土桃山時代;江戸時代	Takasu	Takasu Domain	高須藩	html_alternate_ja	1600-1676/1700-1870	1	polity	Tōkai	Mino Province (Present-day Southern Gifu Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takasu	高須藩	1700	1870	藩	江戸時代;明治時代	Takasu	Takasu Domain	高須藩	html_alternate_ja	1600-1676/1700-1870	2	polity	Tōkai	Mino Province (Present-day Southern Gifu Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ogakishinden		1688	1871	藩	江戸時代;明治時代	Ōgakishinden	Ōgakishinden Domain			1688-1871		polity	Tōkai	Mino Province (Present-day Southern Gifu Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.nagashima	長島藩	1601	1621	藩	安土桃山時代;江戸時代	Nagashima	Nagashima Domain	長島藩	html_alternate_ja	1601-1621/1649-1871	1	polity	Kansai	Ise Province (Present-day Central Mie Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.nagashima	長島藩	1649	1871	藩	江戸時代;明治時代	Nagashima	Nagashima Domain	長島藩	html_alternate_ja	1601-1621/1649-1871	2	polity	Kansai	Ise Province (Present-day Central Mie Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ise_saijo		1726	1781	藩	江戸時代	Ise-saijo	Ise-saijo Domain			1726-1781		polity	Kansai	Ise Province (Present-day Central Mie Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.toba	鳥羽藩	1597	1680	藩	安土桃山時代;江戸時代	Toba	Toba Domain	鳥羽藩	html_alternate_ja	1597-1680/1691-1871	1	polity	Kansai	Shima Province (Present-day Eastern Mie Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.toba	鳥羽藩	1691	1871	藩	江戸時代;明治時代	Toba	Toba Domain	鳥羽藩	html_alternate_ja	1597-1680/1691-1871	2	polity	Kansai	Shima Province (Present-day Eastern Mie Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.miyagawa		1698	1871	藩	江戸時代;明治時代	Miyagawa	Miyagawa Domain			1698-1871		polity	Kansai	Ōmi Province (Present-day Shiga Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.katada		1698	1826	藩	江戸時代	Katada	Katada Domain			1698-1826		polity	Kansai	Ōmi Province (Present-day Shiga Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.hikoneshinden		1714	1734	藩	江戸時代	Hikoneshinden	Hikoneshinden Domain			1714-1734		polity	Kansai	Ōmi Province (Present-day Shiga Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yagyu		1636	1869	藩	江戸時代;明治時代	Yagyū	Yagyū Domain			1636-1869		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.gose		1620	1629	藩	江戸時代	Gose	Gose Domain			1620-1629		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kaiju_shibamura		1615	1871	藩	江戸時代;明治時代	Kaiju-Shibamura	Kaiju-Shibamura Domain			1615-1871		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kujira		1863	1871	藩	江戸時代;明治時代	Kujira	Kujira Domain			1863-1871		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatsuta		1601	1655	藩	安土桃山時代;江戸時代	Tatsuta	Tatsuta Domain			1601-1655		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tawaramoto		1583	1871	藩	安土桃山時代;江戸時代;明治時代	Tawaramoto	Tawaramoto Domain			1583-1871		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yamato_shinjo		1600	1863	藩	安土桃山時代;江戸時代	Yamato-Shinjo	Yamato-Shinjo Domain			1600–1863		polity	Kansai	Yamato Province (Present-day Nara Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kii_tanabe		1619	1871	藩	江戸時代;明治時代	Kii-Tanabe	Kii-Tanabe Domain			1619-1871		polity	Kansai	Kii Province (Present-day Wakayama and Southern Mie Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kii_shingu		1600	1871	藩	安土桃山時代;江戸時代;明治時代	Kii-Shingu	Kii-Shingu Domain			1600-1871		polity	Kansai	Kii Province (Present-day Wakayama and Southern Mie Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tanba_kameyama	丹波亀山藩	1600	1602	藩	安土桃山時代	Tanba-Kameyama	Tanba-Kameyama Domain	丹波亀山藩	html_alternate_ja	1600-1602/1619-1871	1	polity	Kansai	Tanba Province (Present-day Northeastern Hyogo and Central Kyoto Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tanba_kameyama	丹波亀山藩	1619	1871	藩	江戸時代;明治時代	Tanba-Kameyama	Tanba-Kameyama Domain	丹波亀山藩	html_alternate_ja	1600-1602/1619-1871	2	polity	Kansai	Tanba Province (Present-day Northeastern Hyogo and Central Kyoto Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.fukuchiyama	福知山藩	1600	1620	藩	安土桃山時代;江戸時代	Fukuchiyama	Fukuchiyama Domain	福知山藩	html_alternate_ja	1600-1620/1621-1871	1	polity	Kansai	Tanba Province (Present-day Northeastern Hyogo and Central Kyoto Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.fukuchiyama	福知山藩	1621	1871	藩	江戸時代;明治時代	Fukuchiyama	Fukuchiyama Domain	福知山藩	html_alternate_ja	1600-1620/1621-1871	2	polity	Kansai	Tanba Province (Present-day Northeastern Hyogo and Central Kyoto Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.miyazu	宮津藩	1600	1666	藩	安土桃山時代;江戸時代	Miyazu	Miyazu Domain	宮津藩	html_alternate_ja	1600-1666/1669-1871	1	polity	Kansai	Tango Province (Present-day Northern Kyoto Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.miyazu	宮津藩	1669	1871	藩	江戸時代;明治時代	Miyazu	Miyazu Domain	宮津藩	html_alternate_ja	1600-1666/1669-1871	2	polity	Kansai	Tango Province (Present-day Northern Kyoto Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.mineyama	峰山藩	1620	1668	藩	江戸時代	Mineyama	Mineyama Domain (Tango)	峰山藩	html_alternate_ja	1620–1668		polity	Kansai	Tango Province (Present-day Northern Kyoto Prefecture)	link_label_differs_from_page	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.fukumoto		1663	1871	藩	江戸時代;明治時代	Fukumoto	Fukumoto Domain			1663-1871		polity	Kansai	Harima Province (Present-day Southern Hyogo Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
