polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes
japan.sano	佐野藩	1600	1688	藩	安土桃山時代;江戸時代	Sano	Sano Domain	佐野藩	html_alternate_ja	1600-1688		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ashikaga	足利藩	1688	1692	藩	江戸時代	Ashikaga	Ashikaga Domain	足利藩	html_alternate_ja	1688-1692/1705-1871	1	polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ashikaga	足利藩	1705	1871	藩	江戸時代;明治時代	Ashikaga	Ashikaga Domain	足利藩	html_alternate_ja	1688-1692/1705-1871	2	polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.karasuyama	烏山藩	1627	1871	藩	江戸時代;明治時代	Karasuyama	Karasuyama Domain	烏山藩	html_alternate_ja	1627-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatebayashi	館林藩	1590	1683	藩	安土桃山時代;江戸時代	Tatebayashi	Tatebayashi Domain	館林藩	html_alternate_ja	1590-1683/1707-1734/1740-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatebayashi	館林藩	1707	1734	藩	江戸時代	Tatebayashi	Tatebayashi Domain	館林藩	html_alternate_ja	1590-1683/1707-1734/1740-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatebayashi	館林藩	1740	1871	藩	江戸時代;明治時代	Tatebayashi	Tatebayashi Domain	館林藩	html_alternate_ja	1590-1683/1707-1734/1740-1871	3	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.isezaki	伊勢崎藩	1601	1617	藩	安土桃山時代;江戸時代	Isezaki	Isesaki Domain	伊勢崎藩	html_alternate_ja	1601-1617/1636-1662/1681-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.isezaki	伊勢崎藩	1636	1662	藩	江戸時代	Isezaki	Isesaki Domain	伊勢崎藩	html_alternate_ja	1601-1617/1636-1662/1681-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.isezaki	伊勢崎藩	1681	1871	藩	江戸時代;明治時代	Isezaki	Isesaki Domain	伊勢崎藩	html_alternate_ja	1601-1617/1636-1662/1681-1871	3	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.maebashi	前橋藩	1601	1767	藩	安土桃山時代;江戸時代	Maebashi	Maebashi Domain	前橋藩	html_alternate_ja	1601-1767/1867-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.maebashi	前橋藩	1867	1871	藩	江戸時代;明治時代	Maebashi	Maebashi Domain	前橋藩	html_alternate_ja	1601-1767/1867-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takasaki	高崎藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Takasaki	Takasaki Domain	高崎藩	html_alternate_ja	1590-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.numata	沼田藩	1656	1871	藩	江戸時代;明治時代	Numata	Numata Domain	沼田藩	html_alternate_ja	1656-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yoshii	吉井藩	1590	1610	藩	安土桃山時代;江戸時代	Yoshii	Yoshii Domain	吉井藩	html_alternate_ja	1590-1610/1682-1693/1709-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
